Time (min),CRY_ANIMO,CRY_ODE,
801.604,18.5185, ,
802.6732, ,34.5209,
805.6868, ,34.5398,
807.3945, ,34.5588,
808.6501, ,34.5777,
809.956, ,34.6725,
810.562,22.2222, ,
811.6638, ,34.7672,
812.0656, ,34.8619,
813.6226, ,34.9567,
814.6272, ,35.0467,
815.0289, ,35.1367,
815.8828, ,35.2267,
816.7367, ,35.3167,
818.4444, ,35.7665,
818.884,25.9259, ,
825.2752, ,36.2162,
826.324,29.6296, ,
826.9829, ,36.6657,
831.2522, ,37.115,
833.284,33.3333, ,
833.3617, ,37.7918,
835.5215, ,38.4681,
840.1925, ,39.1439,
840.322,37.037, ,
841.4984, ,39.8191,
844.06, ,40.4526,
846.6216, ,41.0856,
847.982,40.7407, ,
848.2791, ,41.7181,
849.585, ,42.35,
850.4388, ,42.9462,
852.5484, ,43.542,
856.324,44.4444, ,
856.4157, ,44.1372,
859.3791, ,44.7318,
859.8312, ,45.2899,
861.5389, ,45.8474,
864.5023, ,46.4045,
864.522,48.1481, ,
865.3561, ,46.961,
867.0638, ,47.4851,
868.3195, ,48.0088,
869.6254, ,48.532,
872.5888, ,49.0546,
873.712,51.8519, ,
873.8947, ,49.5571,
874.7485, ,50.059,
877.3101, ,50.5604,
879.4196, ,51.0613,
882.383, ,51.5642,
883.062,55.5556, ,
884.0907, ,52.0666,
886.6523, ,52.5684,
888.812, ,53.0696,
892.6293, ,53.6099,
893.302,59.2593, ,
895.1908, ,54.1495,
896.8985, ,54.6885,
897.7524, ,55.2267,
899.4601, ,55.7669,
900.314, ,56.3064,
901.1678, ,56.8451,
904.362,62.963, ,
907.9986, ,57.3831,
912.2679, ,57.9315,
914.3774, ,58.479,
916.382,66.6667, ,
916.4869, ,59.0257,
919.5005, ,59.5716,
921.6101, ,60.1372,
922.0621, ,60.7019,
925.0255, ,61.2657,
927.587, ,61.8286,
929.2948, ,62.4212,
929.582,70.3704, ,
931.0024, ,63.0127,
933.564, ,63.6032,
937.8333, ,64.1926,
938.2351, ,64.8214,
940.7967, ,65.4489,
944.2121, ,66.0752,
944.262,74.0741, ,
945.518, ,66.7002,
947.1755, ,67.372,
948.0293, ,68.0423,
948.8832, ,68.7111,
949.7371, ,69.3783,
950.5909, ,70.0942,
952.7506, ,70.8083,
954.8601, ,71.5205,
955.3122, ,72.2309,
957.8738, ,72.9831,
959.1294, ,73.7331,
959.8326, ,74.4809,
960.4353, ,75.2266,
960.862,77.7778, ,
962.143, ,76.0005,
964.6544, ,76.7719,
966.8141, ,77.5409,
968.5219, ,78.3075,
969.7775, ,78.6343,
972.3391, ,78.9598,
973.1929, ,79.2826,
976.2065, ,79.6021,
977.9142, ,79.9183,
980.002,81.4815, ,
980.8776, ,80.231,
982.9871, ,80.5404,
986.0007, ,80.8464,
989.818, ,81.4045,
989.818, ,81.9514,
992.8315, ,82.4873,
994.0872, ,83.0122,
997.0506, ,83.5445,
1001.7719, ,84.0655,
1002.602,85.1852, ,
1002.6257, ,84.5752,
1003.4796, ,85.0739,
1005.1873, ,85.5968,
1006.0412, ,86.1074,
1009.0045, ,86.6059,
1012.0182, ,87.0924,
1012.8218, ,87.6009,
1014.5295, ,88.0962,
1017.5431, ,88.5784,
1018.397, ,89.0478,
1018.7988, ,89.536,
1020.5064, ,90.01,
1022.2142, ,90.4701,
1023.068, ,90.9166,
1025.2277, ,91.3753,
1027.5885, ,91.8192,
1029.4468, ,92.2486,
1030.402,88.8889, ,
1033.3143, ,92.6638,
1036.2777, ,93.0814,
1038.4374, ,93.4842,
1040.999, ,93.8724,
1041.8528, ,94.2464,
1043.5605, ,94.6127,
1047.3778, ,94.9647,
1050.3412, ,95.3028,
1051.6471, ,95.6271,
1053.2041, ,95.9373,
1057.5235, ,96.2343,
1058.8797, ,96.5184,
1059.7335, ,96.7898,
1061.4413, ,97.0454,
