Time (min),tim_ANIMO,tim_ODE,
1265.6129, ,34.3197,
1267.7726, ,35.0584,
1269.0283, ,35.802,
1270.3342, ,36.5504,
1271.188, ,37.2479,
1274.1514, ,37.9491,
1275.4573, ,38.654,
1277.66,6.25, ,
1278.4207, ,39.3624,
1281.384, ,40.0362,
1283.5438, ,40.7128,
1286.4067, ,41.3922,
1289.0687, ,42.0743,
1292.0824, ,42.7313,
1295.0457, ,43.3905,
1295.8996, ,44.0517,
1298.0091, ,44.7149,
1300.5706, ,45.3585,
1301.8766, ,46.0037,
1303.5843, ,46.6505,
1304.4381, ,47.2986,
1306.5476, ,47.9306,
1306.9997, ,48.5637,
1309.5613, ,49.1978,
1310.4151, ,49.8329,
1312.0726, ,50.4542,
1312.9264, ,51.0763,
1314.6341, ,51.6989,
1317.1957, ,52.3221,
1318.0495, ,52.9333,
1323.1727, ,53.5448,
1325.3324, ,54.1566,
1327.894, ,54.7685,
1331.7112, ,55.3697,
1333.8208, ,55.971,
1334.2728, ,56.5721,
1334.6746, ,57.173,
1335.5284, ,57.7644,
1337.2362, ,58.3554,
1337.6882, ,58.946,
1341.1036, ,59.5361,
1342.8113, ,60.1175,
1351.7517, ,60.6982,
1354.715, ,61.2783,
1356.4228, ,61.8575,
1358.1304, ,62.4288,
1359.4364, ,62.9992,
1360.692, ,63.5686,
1361.9477, ,64.137,
1364.1075, ,64.698,
1368.3767, ,65.2579,
1370.0844, ,65.8165,
1372.646, ,66.374,
1373.0478, ,66.9246,
1376.0614, ,67.4739,
1378.5727, ,68.0218,
1379.3261, ,68.5682,
1380.66,0, ,
1381.5864, ,69.1084,
1384.5498, ,69.6471,
1387.5633, ,70.1841,
1389.6728, ,70.7194,
1390.5267, ,71.2493,
1392.2344, ,71.7774,
1393.2892, ,72.3036,
1396.0516, ,72.8279,
1397.3575, ,73.3476,
1399.9191, ,73.8653,
1402.0287, ,74.3809,
1405.8961, ,74.8944,
1406.75, ,75.4043,
1407.1518, ,75.9121,
1409.3115, ,76.4175,
1411.0192, ,76.9205,
1413.9826, ,77.4215,
1421.6673, ,77.9201,
1423.7768, ,78.416,
1426.3383, ,78.9093,
1427.6442, ,79.4029,
1428.0461, ,79.8936,
1429.7538, ,80.3814,
1432.3154, ,80.8661,
1434.8769, ,81.3547,
1437.4384, ,81.84,
1440,0,82.3218,
