Time (min),clk_ANIMO,clk_ODE,
1396.0516, ,1.7041,
1397.3575, ,1.8387,
1399.9191, ,1.9786,
1402.0287, ,2.1237,
1405.8961, ,2.2739,
1406.75, ,2.429,
1407.1518, ,2.5893,
1409.3115, ,2.7548,
1411.0192, ,2.9254,
1413.9826, ,3.1015,
1421.6673, ,3.2828,
1423.7768, ,3.4693,
1426.3383, ,3.661,
1427.6442, ,3.8592,
1428.0461, ,4.0628,
1429.7538, ,4.2716,
1432.3154, ,4.4857,
1434.8769, ,4.7084,
1437.4384, ,4.9366,
1440,0,5.1702,
