Time (min),CYC/CLK_ANIMO,CYC/CLK_ODE,
1018.397, ,16.83,
1018.7988, ,17.3662,
1020.5064, ,17.9066,
1022.2142, ,18.4511,
1023.068, ,18.9997,
1025.2277, ,19.5857,
1027.5885, ,20.176,
1028.26,16.6667, ,
1029.4468, ,20.7705,
1033.3143, ,21.3692,
1036.2777, ,21.9972,
1038.4374, ,22.6294,
1040.999, ,23.2657,
1041.8528, ,23.906,
1043.5605, ,24.562,
1047.3778, ,25.2219,
1050.3412, ,25.8856,
1051.6471, ,26.5528,
1053.2041, ,27.2223,
1057.5235, ,27.8952,
1058.8797, ,28.5712,
1059.7335, ,29.2503,
1061.4413, ,29.9233,
1063.5508, ,30.5989,
1065.7105, ,31.2772,
1066.9662, ,31.9579,
1069.9798, ,32.6293,
1071.6875, ,33.3027,
1072.5414, ,33.9782,
1074.6508, ,34.6554,
1077.2124, ,35.3233,
1078.5183, ,35.9928,
1079.774, ,36.6636,
1081.8835, ,37.3357,
1082.7374, ,37.9996,
1083.1895, ,38.6645,
1084.4451, ,39.3303,
1086.26,11.1111, ,
1087.8605, ,39.9969,
1090.0202, ,40.6566,
1090.8741, ,41.3169,
1092.1297, ,41.9775,
1092.5818, ,42.6384,
1094.6913, ,43.2941,
1100.2163, ,43.9498,
1101.0701, ,44.6054,
1103.2299, ,45.2607,
1104.0837, ,45.9125,
1104.9376, ,46.5638,
1107.4991, ,47.2146,
1110.0607, ,47.8646,
1111.06,5.5556, ,
1113.0241, ,48.5129,
1115.9875, ,49.1602,
1116.8413, ,49.8065,
1117.6952, ,50.4516,
1119.0011, ,51.0969,
1121.5626, ,51.7408,
1124.1242, ,52.3832,
1126.2337, ,53.0241,
1127.9414, ,53.6673,
1129.6492, ,54.3088,
1132.6125, ,54.5877,
1138.1877, ,55.0614,
1141.1511, ,55.5342,
1144.1646, ,56.0061,
1150.0914, ,56.4406,
1152.653, ,56.8742,
1159.4838, ,57.3069,
1164.1549, ,57.7387,
1165.46,0, ,
1165.8626, ,57.7693,
1168.8762, ,58.4086,
1170.5839, ,59.0453,
1172.6935, ,59.6793,
1175.255, ,59.8227,
1176.5609, ,59.966,
1177.4148, ,60.1092,
1183.3415, ,60.2522,
1184.6474, ,60.395,
1187.209, ,60.5377,
