Time (min),PER/TIM-p_ANIMO,PER/TIM_ODE,
980.8776, ,31.6249,
982.9871, ,31.3719,
986.0007, ,31.1199,
989.818, ,30.6555,
989.818, ,30.1942,
992.8315, ,29.7362,
994.0872, ,29.2814,
996.06,56.5217, ,
997.0506, ,28.8139,
1001.7719, ,28.3498,
1002.6257, ,27.8893,
1003.4796, ,27.4323,
1005.1873, ,26.9461,
1006.0412, ,26.464,
1009.0045, ,25.986,
1012.0182, ,25.5121,
1012.8218, ,25.0089,
1014.5295, ,24.5104,
1017.5431, ,24.0167,
1018.397, ,23.5279,
1018.7988, ,23.0104,
1020.5064, ,22.4985,
1022.2142, ,21.9921,
1023.068, ,21.4913,
1025.2277, ,20.9664,
1027.5885, ,20.4479,
1028.26,52.1739, ,
1029.4468, ,19.9357,
1033.3143, ,19.4297,
1036.2777, ,18.9093,
1038.4374, ,18.3958,
1040.999, ,17.8891,
1041.8528, ,17.3892,
1043.5605, ,16.8872,
1047.3778, ,16.3923,
1050.3412, ,15.9045,
1051.6471, ,15.4238,
1053.2041, ,14.951,
1055.86,47.8261, ,
1057.5235, ,14.4852,
1058.8797, ,14.0266,
1059.7335, ,13.5749,
1061.4413, ,13.1361,
1063.5508, ,12.7042,
1065.7105, ,12.2792,
1066.9662, ,11.861,
1069.9798, ,11.4567,
1071.6875, ,11.0589,
1072.5414, ,10.6679,
1074.6508, ,10.2834,
1077.2124, ,9.9118,
1078.5183, ,9.5466,
1079.774, ,9.1879,
1081.8835, ,8.8356,
1082.7374, ,8.4946,
1083.1895, ,8.1599,
1084.4451, ,7.8316,
1085.26,43.4783, ,
1087.8605, ,7.5097,
1090.0202, ,7.1976,
1090.8741, ,6.8919,
1092.1297, ,6.5924,
1092.5818, ,6.2993,
1094.6913, ,6.0148,
1100.2163, ,5.7367,
1101.0701, ,5.4649,
1103.2299, ,5.1994,
1104.0837, ,4.9417,
1104.9376, ,4.6904,
1107.4991, ,4.4455,
1110.0607, ,4.2071,
1113.0241, ,3.9756,
1115.9875, ,3.7507,
1116.8413, ,3.5325,
1116.86,39.1304, ,
1117.6952, ,3.3209,
1119.0011, ,3.1156,
1121.5626, ,2.9172,
1124.1242, ,2.7257,
1126.2337, ,2.5412,
1127.9414, ,2.3626,
1129.6492, ,2.1912,
1136.8818, ,2.1771,
1140.1968, ,2.0193,
1144.1646, ,1.8681,
1145.06,34.7826, ,
1151.3973, ,1.7187,
1159.4838, ,1.5761,
1164.1549, ,1.4404,
1165.8626, ,1.3872,
1168.8762, ,1.262,
1170.5839, ,1.145,
1172.6935, ,1.0362,
1175.255, ,1.0127,
1175.46,30.4348, ,
1176.5609, ,0.9896,
1177.4148, ,0.9669,
1183.3415, ,0.9447,
1184.6474, ,0.9229,
1187.209, ,0.9012,
1192.1312, ,0.8798,
1193.5877, ,0.8586,
1199.9665, ,0.8338,
1201.6743, ,0.8094,
1202.1263, ,0.7852,
1203.3819, ,0.7614,
1206.3956, ,0.6767,
1208.66,26.087, ,
1209.3589, ,0.5964,
1212.3223, ,0.5207,
1217.0436, ,0.4496,
1217.4454, ,0.3842,
1218.7513, ,0.3236,
1220.007, ,0.2679,
1222.5686, ,0.217,
1226.8379, ,0.1709,
1228.5455, ,0.1301,
1229.8012, ,0.0946,
1232.3628, ,0.0645,
1236.6321, ,0.0397,
1237.285, ,0.0208,
1238.3398, ,0.0077,
1239.46,21.7391, ,
1240.4995, ,0.0007,
1243.0611, ,0,
1248.9878, ,0.0058,
1250.2937, ,0.0183,
1250.6955, ,0.0376,
1256.6725, ,0.0647,
1258.3802, ,0.0993,
1262.1975, ,0.1415,
1262.6495, ,0.1915,
1265.6129, ,0.2488,
1267.7726, ,0.3139,
1269.0283, ,0.3872,
1270.3342, ,0.4686,
1271.188, ,0.5514,
1274.1514, ,0.6415,
1275.4573, ,0.739,
1276.06,17.3913, ,
1278.4207, ,0.844,
1281.384, ,0.9504,
1283.5438, ,1.0637,
1286.4067, ,1.184,
1289.0687, ,1.3114,
1292.0824, ,1.4404,
1295.0457, ,1.5761,
1295.8996, ,1.7187,
1298.0091, ,1.8681,
1300.5706, ,2.0193,
1301.8766, ,2.1771,
1303.5843, ,2.3415,
1304.4381, ,2.5127,
1306.5476, ,2.6858,
1306.9997, ,2.8654,
1309.5613, ,3.0515,
1310.374,13.0435, ,
1310.4151, ,3.2443,
1312.0726, ,3.4392,
1312.9264, ,3.6405,
1314.6341, ,3.8483,
1317.1957, ,4.0626,
1318.0495, ,4.2791,
1323.1727, ,4.5021,
1325.3324, ,4.7314,
1327.894, ,4.9673,
1331.7112, ,5.2055,
1333.8208, ,5.45,
1334.2728, ,5.701,
1334.6746, ,5.9584,
1335.5284, ,6.2181,
1337.2362, ,6.4842,
1337.6882, ,6.7567,
1341.1036, ,7.0356,
1342.8113, ,7.317,
1349.66,8.6957, ,
1351.7517, ,7.6047,
1354.715, ,7.8987,
1356.4228, ,8.1991,
1358.1304, ,8.502,
1359.4364, ,8.8113,
1360.692, ,9.1268,
1361.9477, ,9.4487,
1364.1075, ,9.7732,
1368.3767, ,10.104,
1370.0844, ,10.4411,
1372.646, ,10.7845,
1373.0478, ,11.1306,
1376.0614, ,11.483,
1378.5727, ,11.8416,
1379.3261, ,12.2065,
1381.5864, ,12.5744,
1384.5498, ,12.9484,
1387.5633, ,13.3287,
1389.6728, ,13.7151,
1390.5267, ,14.105,
1392.2344, ,14.5009,
1393.2892, ,14.903,
1394.612,4.3478, ,
1396.0516, ,15.3112,
