Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.0914, , , , , , , , , ,39.2857, , , , , , , , , , , , , , , , , , , , , ,
0.0921, , , , , , , , , ,40.4762, , , ,27.9412, , , , , , , , , , , , , , , , , ,
0.0928, , , , , , , , , ,39.2857, , , , , , , , , ,0, , , , , , , , , , , ,
0.0933, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.3019, , ,
0.0937, , , , , , , , , , , , ,45.5556, , , , , , , , , , , , , , , , , , ,
0.094, , , , , , , , , , , , , , , , , ,47.0588, , , , , , , , , , , , , ,
0.0943, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , ,
0.0949, , , , , , , , , ,40.4762, , , , , , , , , , , , , , , , , , , , , ,
0.0953, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.5088, , , ,
0.0968, , ,99.9644,7.6399,0.252, , ,61.8062, , ,65.4009,9.9032, , , ,73.3963,49.4031, , , ,29.4935,98.1905,65.5827, , ,86.6662,72.9235, , ,87.2783,34.3657,
0.0976, , , , , , , , , ,41.6667, , , , , , , , , , , , , , , , , , , , , ,
0.0983, , , , , , , , , , , , , ,26.4706, , , , , , , , , , , , , , , , , ,
0.0985, , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , ,
0.099, , , , , , , , , , , , , ,27.9412, , , , , , , , , , , , , , , , , ,
0.0992, , , , , , , , , , , , ,46.6667, , , , , , , , , , , , , , , , , , ,
0.0994, , , , , , , , , , , , , , ,4.6154, , ,52.9412, , , , , , , , , , , , , ,
0.0999, , , , , , , , ,15.942, , , ,45.5556, , , , , , , , , , , , , , , , , , ,
0.1004, , , , , , , , , , , , ,46.6667, , , , , , , , , , ,41.1765,10, , ,1.7544, , , ,
0.1017, , , , , ,93.617, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1018, , ,99.9899,7.9744,0.3161, , ,61.339, , ,66.2644,10.3144, , , ,74.0112,50.0863, , , ,30.1737,98.3858,66.284, , ,87.1683,73.5363, , ,87.7891,35.0145,
0.102, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30.1887, , ,
0.1024, ,88.8889, , , ,94.6809, , ,14.4928, , , , , , , , , , , , , , , , , , , , , , ,
0.1026, , , , , , , , , ,42.8571, , ,46.6667, , , , , , , , , , , ,0, , , , , , ,
0.1028, , , , , , ,45, , , , , , , , , , , , , , , , , , , , , , , , ,
0.103, , , , , ,93.617, , , ,41.6667, , , , , , , , , ,5, , , , , , , , , , , ,
0.1045, , , , , ,94.6809, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1052, , , , , ,93.617, , , ,42.8571, , , , , , , , , , , , , , , , , , , , , ,
0.1054, , , , , , , , , , , , ,47.7778,29.4118, , , , , , , , , , , , , , , , , ,
0.1061, , , , , , , , , , , , ,46.6667, , , , , , , , , , , , , , , , , , ,
0.1068, , , , , , , , , ,41.6667, , , , , , , , , , , , , , , , , , , , , ,
0.1069, , ,100,8.316,0.3876, , ,60.8701, , ,67.127,10.735, , , ,74.6227,50.7713, , , ,30.8611,98.5715,66.9834, , ,87.6633,74.1459, , ,88.2922,35.6678,
0.1069, , , , , ,94.6809, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1069, , , , , ,93.617, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.107, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1074, , , , , , , , , ,42.8571, , , , , , , , , , , , , , , , , , , , , ,
