t,CLK,CLK/CYC,per,PER,tim,TIM,PER/TIM,cwo,CWO,pdp1,PDP1,vri,VRI,clk,CRY
1089.703025,41.82214192,27.91927255,25.14674363,12.24272666,21.41359239,13.54478884,11.51926365,0.915686039,1.036169846,15.78203582,18.1910397,7.269014018,6.439876416,15.3431312,71.56794878
1089.758817,41.77006981,28.04276979,25.34074213,12.3096817,21.56799809,13.65473666,11.52896301,0.927970294,1.035146693,15.84524392,18.23451603,7.317941475,6.445598246,15.33186653,71.4617947
1089.81461,41.71863796,28.16517544,25.53324841,12.37771286,21.72320741,13.76583673,11.53945619,0.940501171,1.034161986,15.9090115,18.27897654,7.367146961,6.451615686,15.3209645,71.35400744
1089.870402,41.66785401,28.28648476,25.72423113,12.44681077,21.87918856,13.87806874,11.55075531,0.953281623,1.033216165,15.97333063,18.32441933,7.416620812,6.457929344,15.31042727,71.24459706
1089.923223,41.62037855,28.40031937,25.90361214,12.51320297,22.02754488,13.9853479,11.56220633,0.965614079,1.032356956,16.03472536,18.36834532,7.463698292,6.464180253,15.30078934,71.13952684
1089.976044,41.57349697,28.51316407,26.08157776,12.58053401,22.17653661,14.09360489,11.57440081,0.978175329,1.031533392,16.09660036,18.41314801,7.510999079,6.47069764,15.29148212,71.03301933
1090.028865,41.52721561,28.62501582,26.25810601,12.64879505,22.32613594,14.20282128,11.58734894,0.990967817,1.030745869,16.15894866,18.45882539,7.558514626,6.477481935,15.28250741,70.92508305
1090.081686,41.48154073,28.73587186,26.43317636,12.71797696,22.47631481,14.31297816,11.60106088,1.003993958,1.02999479,16.22176323,18.50537531,7.606236282,6.48453354,15.27386698,70.81572653
1090.132385,41.43827751,28.8413343,26.59982242,12.78523615,22.62097749,14.41957497,11.61494956,1.016718608,1.02930855,16.28248547,18.55087315,7.652225949,6.491553531,15.26588981,70.70943672
1090.183083,41.3955842,28.94587526,26.76509201,12.8533265,22.76612282,14.52700316,11.62956011,1.029662789,1.028656632,16.34362434,18.5971706,7.698389614,6.498820428,15.25822375,70.60185395
1090.233782,41.35346623,29.04949303,26.92897049,12.92223924,22.91172546,14.63524517,11.64490137,1.042828549,1.02803941,16.4051734,18.64426542,7.744719387,6.506334506,15.25087035,70.49298579
1090.28448,41.31192896,29.15218611,27.09144429,12.99196536,23.05775993,14.74428311,11.66098213,1.056217901,1.027457265,16.46712618,18.69215526,7.791207301,6.514096016,15.24383112,70.38283981
1090.333543,41.27228945,29.25068515,27.24732817,13.06020819,23.19947097,14.85054465,11.67725653,1.06939012,1.026927662,16.52745885,18.739255,7.836338723,6.521842973,15.23731948,70.27503719
1090.382607,41.2332036,29.34831604,27.40187441,13.12919556,23.3415391,14.95751798,11.69423952,1.082775343,1.026431631,16.58815751,18.78709461,7.88160339,6.529822045,15.23110483,70.16605188
1090.43167,41.19467617,29.44507799,27.55507345,13.19891874,23.48394091,15.0651863,11.7119389,1.096375281,1.025969535,16.64921612,18.83567162,7.926993914,6.538033384,15.22518849,70.05589083
1090.480733,41.15671191,29.54097036,27.70691656,13.26936875,23.6266529,15.17353253,11.7303624,1.110191606,1.02554174,16.7106286,18.88498345,7.972502859,6.546477115,15.21957179,69.94456098
1090.528478,41.12031246,29.63345186,27.85337204,13.33861567,23.7658072,15.27960315,11.74899357,1.123846135,1.025158725,16.77072551,18.93367374,8.016896064,6.55491727,15.21439487,69.83510581
1090.576224,41.08445509,29.72510908,27.99852938,13.40853365,23.90521116,15.38628347,11.76832472,1.137708576,1.024808897,16.83114604,18.98305477,8.061387395,6.563577667,15.20950414,69.72455683
1090.623969,41.04914406,29.81594181,28.14238265,13.4791139,24.04484298,15.4935574,11.78836279,1.151780335,1.024492612,16.89188443,19.03312384,8.105969887,6.57245835,15.2049008,69.61292053
1090.671714,41.01438363,29.90594996,28.2849266,13.55034749,24.18468084,15.60140865,11.8091146,1.166062769,1.024210228,16.95293491,19.08387816,8.150636544,6.58155934,15.200586,69.50020341
1090.718366,40.98095563,29.99309898,28.42293479,13.62057098,24.32149216,15.7073302,11.83008675,1.18022264,1.02396741,17.01288218,19.13412845,8.194354154,6.590664554,15.19664989,69.38903167
1090.765017,40.9480612,30.07946085,28.55968475,13.69140085,24.45845893,15.81377193,11.851753,1.194586053,1.02375765,17.07311637,19.18502735,8.238138835,6.59998006,15.19299144,69.27684043
1090.811668,40.91570422,30.16503571,28.6951732,13.76282833,24.59556078,15.92071844,11.87411951,1.209154122,1.023581295,17.13363196,19.23657194,8.281983994,6.609505807,15.18961168,69.16363583
1090.858319,40.88388855,30.24982376,28.82939734,13.83484446,24.73277732,16.0281542,11.89719235,1.223927903,1.023438701,17.19442342,19.28875922,8.32588302,6.619241718,15.18651168,69.04942404
1090.904042,40.85323498,30.33216117,28.95972124,13.90598982,24.86735476,16.13391151,11.92049716,1.238608242,1.023332047,17.25426735,19.34052853,8.368954287,6.62898771,15.18374581,68.93651387
1090.949765,40.82310865,30.41374326,29.08882669,13.97768322,25.00200368,16.24010912,11.94449176,1.253488027,1.023258506,17.31436562,19.39290918,8.41206469,6.638935373,15.18125062,68.82264803
1090.995488,40.7935131,30.49457027,29.21671232,14.04991585,25.13670498,16.34673232,11.96918161,1.268568081,1.023218423,17.37471291,19.44589802,8.455207975,6.649084565,15.17902705,68.70783242
