Time (min),clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
1090.28448,1.5722111208,11.7711978925,82.7195808267,70.8322184663,20.7554968243,44.714942046,29.8936185776,1.8680742589,18.6878011131,0.6406249419,31.4002652211,11.6740048578,44.5533722325,3.7979636327,88.4107701821
1090.333543,1.4314312095,11.3982466266,83.1016129328,71.4109566048,21.2898971111,45.3585291886,30.47151373,2.0192737209,19.1337614745,0.5607032786,31.9560826524,12.0582882967,45.2023840756,4.0282055018,88.1114043869
1090.382607,1.2970721424,11.0305045118,83.4802778876,71.9847285897,21.8301277891,46.0037380717,31.0532798972,2.1770564319,19.586933327,0.48584792,32.5152717831,12.4486082825,45.8533120467,4.2653458978,87.8087542844
1090.43167,1.1691624575,10.6680163329,83.855572627,72.5534989284,22.3761204947,46.6504623777,31.6388257136,2.3414948588,20.0473745986,0.4161136456,33.0777769693,12.8449446625,46.5060499029,4.5093893383,87.5028391747
1090.480733,1.0477309091,10.3108267807,84.2274946687,73.1172352097,22.9278049068,47.2985953803,32.2280582911,2.5126608181,20.5151418966,0.3515556882,33.6435421988,13.2472763869,47.1604907107,4.7603395382,87.1936783298
1090.528478,0.9358072865,9.9683598592,84.5861875273,73.6609692499,23.4700680853,47.9305709717,32.8049151399,2.685756163,20.9774314081,0.2937554193,34.1971876805,13.6445370105,47.7988866336,5.0111834583,86.8897234352
1090.576224,0.8300710149,9.6309931376,84.9416833859,74.1998837851,24.0175862432,48.5636804054,33.3850877948,2.8653547645,21.4467600154,0.2409633551,34.7538145261,14.0474333327,48.4386936562,5.2685730362,86.5827310513
1090.623969,0.730548038,9.2987666964,85.29398143,74.7339567996,24.5702905469,49.1978246756,33.9684887518,3.0515210996,21.9231753202,0.193233219,35.3133696711,14.4559433245,49.0798116184,5.5325095797,86.2727192008
1090.671714,0.6372632187,8.971720616,85.6430813107,75.263168802,25.1281110671,49.8329046859,34.5550294189,3.2443185304,22.4067232652,0.1506190364,35.8757999594,14.8700442225,49.7221399143,5.8029937128,85.959705934
1090.718366,0.5521655756,8.657210802,85.9810919517,75.7755412357,25.678021632,50.454239527,35.131075562,3.4391630591,22.8861217013,0.1139757047,36.4280668759,15.2800327755,50.3508204518,6.0736033845,85.6509841576
1090.765017,0.4730708673,8.3477211208,86.3160496029,76.2832423354,26.2326806759,51.0762803512,35.7099506638,3.6404562155,23.3724112818,0.0823211104,36.9829770558,15.6953132914,50.980465503,6.350462997,85.3394312493
1090.811668,0.400001362,8.0432880778,86.6479548072,76.7862599235,26.7920195222,51.6989346475,36.2915709725,3.8482552299,23.8656297226,0.055707619,37.5404796459,16.1158619463,51.6109802573,6.6335710346,85.02506426
