Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
0.1069478408,,,93.6170212766,,,,,,,,,,,,,
0.1070433939,,,,44,,,,,,,,,,,,
0.1074494947,,,,,,42.8571428571,,,,,,,,,,
0.1076525451,,,,,,,47.7777777778,,,58.8235294118,,,,,,
0.1080586459,,,,,,,46.6666666667,,3.0769230769,,,,,,,
0.1092769483,,,,,,,,,,,,10,,,,
0.1094799987,,,,,,,,,,52.9411764706,,,,,,
0.1099935968,,,,,15.9420289855,44.0476190476,47.7777777778,,,,,,,,,
0.1108535749,,,,43,,,,,,,,,,,,
0.1120121566,,,,,,,,,4.6153846154,,,,,,,
0.1125257547,,,,,,,,30.8823529412,,,,,,,,
0.1126213078,,,,,,44.0476190476,,,,,,,,,,
0.1138396103,,,,,,,47.7777777778,,,,,,,,,
0.1155595666,,,,42,,,48.8888888889,29.4117647059,,58.8235294118,,,,,,
0.1165748186,,,,,,,,,,,,,47.0588235294,,,
0.117112305,,,,,,,,27.9411764706,,,,,,,,28.3018867925
0.1176975679,,,,,,45.2380952381,,,,,,,,,,30.1886792453
0.1190114234,,,,,,,,29.4117647059,,,,,,,,
0.1194175242,,,,,17.3913043478,45.2380952381,,,,,,,,,,
0.1196683512,,94.4444444444,,,,,,,,,,,,,,
0.119823625,,,,41,,,47.7777777778,,,,,,,,,
0.1204327762,,,,,,,50,,,,,,,,,
0.1215435814,,,,,,,,,,,,,,,3.5087719298,
0.1219019056,,,93.6170212766,,,,,,,,,,,,,
0.1222602298,,,,,,,48.8888888889,,,,,,,,,
0.1225588334,,,,,,46.4285714286,,,,,,,,,,
0.1228574369,,,,,,,50,,,,,5,,,,
0.1235740854,,,,,,,48.8888888889,,,,,,41.1764705882,,,
0.1236696385,,,92.5531914894,40,,,,,,,,,,,,
0.1242787897,,,93.6170212766,,,,,,,,,,,,,
0.1248879409,,,,,,46.4285714286,,,6.1538461538,,,,,,,
