Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,
1.2519, , , , , , , , , , , , , ,1, , ,
1.2535, , , ,34, , , , , , , , , , , , ,
1.2569, , , , , , , , , , , , , , , ,19,
1.2654, , , , , ,43, , , , , , , ,0, , ,
1.276, , ,87, , , , , , , , , , , , , ,
1.279, , , , ,17, , , , , , , , , , , ,
1.2816, , , , , , , , , , , ,17, , , , ,
1.285, , , , , ,44, , , , , , , , , , ,
1.2867, , , , , , , , , ,11, , , , , , ,
1.2892, , , ,33, , ,48, , , , , , , , , ,
1.29, , ,86, ,18,43, , , , , , ,8, , , ,
1.3019, , ,87, , ,44, , , , , , , , , , ,
1.3079, , ,86, , ,43, ,24, , , , , , , , ,
1.3189, , , , , , , , , , , , , , , ,20,
1.3215, , , , , ,44, , , , , , , , , , ,
1.3231, , , , , , , , ,39, , , , , , , ,
1.3248, , , ,32, , ,47, , , , , , , , ,19,
1.3291, , , , , , ,49, ,40, , , , , , , ,
1.3418, , , , , , ,48, , , , , , , , , ,
1.3444, , , , , , ,49, , , , , , , , , ,
1.358, , , , , ,45,48, , , , , , , , , ,
1.3605, , , ,31,19, , , , , , , , , , ,18,
1.363, , , , , , ,49,25, , , , , , , , ,
1.3664, , , , , , , , , , , , ,9, , , ,
1.3758, , ,85, , , , , , , , , , , , , ,
1.3817, , ,86, , , , , , , , , , , , ,19,
1.3834, , , , , , , ,24, , , , , , , , ,
1.3868, , , , , , ,49, , , , , , , , , ,
1.3927, ,97,85,30, , , , , , , , , , ,35, ,
1.3987, , ,86, , , , , , , , , , , , , ,
1.4063, , , , , , , , , ,12, , , , , , ,
1.4097, , ,85, , , , ,25, , , , , , , , ,
1.4157, , , , , ,46, , , , , , , , , , ,
1.4208, , , , , ,45, , ,41, , , , , , , ,
1.4233, , , , , , ,50, , , , , , , , , ,
1.4275, , , , ,20, , , , , , , , , , , ,
1.4309, , , ,29, , , , , , , , , , , , ,
1.4326, , , , , ,46, , , , , , , ,1, , ,
1.4386, , , , , , , , , ,11, , , ,0, , ,
1.44, , , , , , , , , , , , , , , ,20,
1.4513, , , , , ,47, , , , , , , , , , ,
1.4564, ,98, , , , , , , , , , , , , , ,
1.4604, , , , , , , ,26, , , , , , , , ,
1.4615, , , , ,19, , , , , , , , , , , ,
1.4632, , , , , ,47, , , , , , , , , , ,
1.4657, , , , , , , , , ,12, , , , , , ,
