Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
1139.756,,,,,,23.0769230769,,,,,,,,,,
1141.028,,,,,,,,,,,,,,,,19.3548387097
1141.188,,,,,,25,33.9622641509,,,,,,,,,
1141.822,,,,20,,,,,,,,,,,,
1142.708,,,,,,23.0769230769,33.9622641509,,,,,,,,,
1143.372,,63.6363636364,,19,,,,,,,,,,,,
1144.482,,,,,,25,35.8490566038,,,,,,,,,
1145.442,,,84.0425531915,,,,,,,,,,,,,
1146.308,,,,,,,,,,,,27.2727272727,,,,
1147.67,,,,18,,,,,,,,,,,,
1148.008,,,,,,,,,,,,18.1818181818,,,,
1148.412,,,,,,,,,0,,,,,,,
1148.91,,,,,,,,20.5128205128,,,,,,,,
1149.132,,,,17,,,,,,,,,,,,
1150.35,,,,,,,,,,36.3636363636,,,,,,
1150.594,,,,,,,33.9622641509,17.9487179487,,,,,,,,
1151.79,,,82.9787234043,,,,,,,,,,,,,
1151.886,,,,,,,,,,,0,,,,,
1152.056,,,,,,,35.8490566038,,,,,,,,,
1153.526,,,,16,,,,,,,,,,,,
1154.124,,,,,,26.9230769231,,,,,,,,,11.1111111111,22.5806451613
1154.988,,,,15,,,,,,,,,,,,
1155.756,,,,,,,,,,,,,,,5.5555555556,
1156.334,,,,,,,,,,,,,36.3636363636,,,
1156.442,,,81.914893617,,,,,,,,,,,,,
1157.778,,72.7272727273,,,,,,,2.2222222222,,,,,,,
1158.066,,,,,,28.8461538462,35.8490566038,,,,,,,,,
1159.178,,,,,,,,,,27.2727272727,,,,,,
1159.506,,63.6363636364,,14,,,,20.5128205128,,,,,,,,
1159.774,,,,,,,37.7358490566,,,,,,,,,
1161.15,,,80.8510638298,13,,,,,,,,,,,,
1161.412,,,,,,,37.7358490566,,,,,,,,,
1161.87,,,,,,26.9230769231,,,,,,,,,,
1162.698,,,80.8510638298,,,,,,,,,,,,,
1163.136,,,,,,,39.6226415094,,,36.3636363636,,,,,,
1164.314,,54.5454545455,79.7872340426,,,,,,,,,,,,,
1164.9,,,,,,,37.7358490566,,,,,,,,,
1165.47,,,,12,,28.8461538462,,,,,,,,,,
1166.556,,,,,7.8947368421,,,,,,,,,,,
1166.676,,,,,,,39.6226415094,,,,,,,,,
1166.91,66.6666666667,,,,,,,,,,,,,,,
1167.264,,,,11,,,,,,,,,,,,
1168.578,77.7777777778,,,,,,,,0,,,,,,,
1169.206,,,78.7234042553,,,30.7692307692,,,,,,,,,,
1169.6,,,,,,,,23.0769230769,,,,,,,,
1170.098,66.6666666667,,,,,,,,,,,,,,,19.3548387097
1170.51,,,,,,,,,,,,9.0909090909,,,,
1170.844,,,78.7234042553,,,,,,,,,,,,,
1171.362,,,,10,,,,,,,,,,,,
1171.672,77.7777777778,,,,,,,,,,,,,,,
1172.524,,,77.6595744681,,,,,,,,,,,,,
1172.754,,,,9,,,37.7358490566,,,,,,,,,
1173.396,66.6666666667,,,,,,,,,,,,,,,
1174.164,,,77.6595744681,,,,,,,,,,,,,
1174.334,,,,,,,39.6226415094,,,,,,,,,
1175.092,77.7777777778,,,,,,,,,45.4545454545,,,,,,
1175.928,,,76.5957446809,,,,,,,,,,,,,
1176.496,,45.4545454545,,,,32.6923076923,,,,,,,,,,
1176.816,66.6666666667,,,,,,,,,,,,,,,
1177.192,,,,8,,,,,,,,,,,,
1177.71,,,,,,,,,2.2222222222,,,,,,,
1178.524,77.7777777778,,,,,,41.5094339623,,,,,,,12.5,,22.5806451613
1178.658,,,,7,,,,,,,,,,,,
1179.178,,,,,,,,20.5128205128,,,,,,,,
1179.258,,,,,,,,,,,,,45.4545454545,,,
1179.87,,54.5454545455,,,,30.7692307692,,,,,,,,,,
1180.248,66.6666666667,,,,,,41.5094339623,,,,,,,0,,
1180.85,,,,,,,,,,36.3636363636,,,,,,
1180.986,,,74.4680851064,,,,,,,,,,36.3636363636,,,
1181.346,,,,,10.5263157895,,,,,,,,,,0,
1182.03,,,,,,,43.3962264151,,,,,,,,,
1183.072,,,,6,,,,,,,,,,,,
1183.47,,,,,,32.6923076923,,,,,,,,,,
1183.696,,,,,,,43.3962264151,,,,,,,,,
1184.644,,,,5,,,,,,,,,,,,
1185.042,,,,,,34.6153846154,,,,,,,,,,
1185.42,,,,,,,43.3962264151,,,,,,,,,
1186.256,,,72.3404255319,,,,,,,45.4545454545,,,,,,
1186.674,,,,,7.8947368421,,,,,,,,,,,
1187.144,,,,,,,43.3962264151,,,,,,,,,
1188.024,,,72.3404255319,,,,,23.0769230769,,,,,,,,
1188.868,,,,,,,45.2830188679,,0,,,,,,,
1189.004,,,,4,,,,,,,,,,,,
1189.57,,,,,,,,,,,,,,,,25.8064516129
1190.592,,,,,,,45.2830188679,,,,,,,,,
1190.686,,,,3,,,,,,,,,,,5.5555555556,
1191.53,,,71.2765957447,,,,,,,,,,,,,
1192.316,,,,,,,43.3962264151,,,,,,,,,
1193.13,,45.4545454545,70.2127659574,,,,,,,,,,,,,
1193.566,,,,,,36.5384615385,,,,,,,,,,
1194.04,,,,,,,45.2830188679,,,,,,,,,
1194.676,,,69.1489361702,2,10.5263157895,,,,,,,,,,,
1196.376,,,,,,,,25.641025641,2.2222222222,,,,,,,
1196.47,,,68.085106383,1,,,,,,54.5454545455,33.3333333333,,,,,
1198.108,,,67.0212765957,,,,,,,45.4545454545,,,,,,
1199.342,,,,,,,,,,,,,45.4545454545,,,
1199.574,,,65.9574468085,,,,,,,,,,,,,
1200.09,,,,,,,,,,,,,,,,29.0322580645
1200.782,,,,0,,,,,,,,,,,,
1200.936,,,,,,,47.1698113208,,,,,,,,,
1201.236,,,64.8936170213,,,,,,,,,,,,,
1202.222,,54.5454545455,,,,,,,,,,,,,,
1202.836,,,,,,38.4615384615,,,,,,,,,,
1204.596,,,,,,40.3846153846,,,,,,,,,,
1204.944,,,63.829787234,,,,,,,,,,,,,
1206.15,,,,,,,,,,54.5454545455,,,,,,
1206.214,,,,,,38.4615384615,,,,,,,,,0,
1206.55,,,62.7659574468,,13.1578947368,,,,,,,,,,,25.8064516129
1207.888,,,,,,,49.0566037736,,,,,,,,,
1208.014,,,,,,40.3846153846,,,,,,,,,,
1208.132,,,61.7021276596,,,,,,,,,,,,,29.0322580645
1209.074,,,,,,,,,0,,,,,,,
1209.612,,45.4545454545,60.6382978723,,,38.4615384615,49.0566037736,,,,,,,,,
1211.364,,,,,,40.3846153846,49.0566037736,,,,,,,,,
1212.31,,,,,,,,28.2051282051,,,,,,,,
1212.822,,,,,,,,,2.2222222222,,,,,,,
1213.096,,,59.5744680851,,,,49.0566037736,,,,,,,,,
1214.84,,,58.5106382979,,,,49.0566037736,,,,,,,,,
1215.306,,,,,,,,,,45.4545454545,,,,,,
1216.63,,,57.4468085106,,,,50.9433962264,,,,,,,,,
1217.564,,,,,,42.3076923077,,,,,,,,,,
1218.316,,,56.3829787234,,,,50.9433962264,,,,,,,,,
1219.308,,,,,,44.2307692308,,,,,,,,,,
1219.518,,,,,,,,,,,,,,,,32.2580645161
1219.798,,,,,,,,,,,,,,,5.5555555556,
1220.056,,,,,,,50.9433962264,30.7692307692,,,,,,,,
1220.982,,,,,,42.3076923077,,,,,,,,,,
1222.232,,,55.3191489362,,,,,,,,,,,,,
1223.488,,,,,,,,,,,,,36.3636363636,,,
1223.87,,,54.2553191489,,,,,,,,,,,,,
1224.59,,,,,,,,,,54.5454545455,,,,,,
1225.212,,,,,,,,,,,,,,,,29.0322580645
1225.624,,,53.1914893617,,,44.2307692308,,,,,,,,,,
1226.964,,,,,,,54.7169811321,,,,,,,,,32.2580645161
1227.088,66.6666666667,,,,,,,,,,,,,,,
1228.688,,,,,15.7894736842,,52.8301886792,,,,,,,,,
1228.876,55.5555555556,,,,,,,,,,,,,,,
1229.542,,,52.1276595745,,,,,,,,,,,,,
1229.644,,,,,,,,,,,,18.1818181818,,,,
1230.45,,,,,,,54.7169811321,,,,,,,,,
1231.004,,,,,,,,,,,,,,,0,
1231.25,,,51.0638297872,,,46.1538461538,,,,,,,,,,
1232.802,,,50,,,48.0769230769,,,,,,,,,,
1233.966,,,,,,,52.8301886792,,,,,,,,,
1234.464,,,,,,,,33.3333333333,,,,,,,,
1234.6,,,,,,44.2307692308,,,,,,,,,,
