Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0.1714,,,,,,,34.4444444444,,1.5384615385,,,,,,,,15.2665350277,34.8490295265,60.6802654776,38.8706723524,2.8962436138,17.5783134032,8.0951870209,0.8798048301,4.4708025448,9.5706140007,9.6327531184,0.5324912833,17.4340744594,0.6237965072,98.5405056413
0.1774,,,,,,27.380952381,33.3333333333,,,,,,,,,,15.1544241782,34.6955906431,60.8226575616,39.0599978047,2.9513866752,17.7028187389,8.1807411841,0.8586086248,4.5184773253,9.4956901295,9.724409741,0.5548656778,17.5575393271,0.6001351082,98.5087924106
0.1833,,,,64,,28.5714285714,34.4444444444,,,,,,,,,,15.0222768096,34.5143555388,60.9908708075,39.2840788324,3.0172953728,17.8505968161,8.2825228388,0.8338284652,4.575256798,9.4073913773,9.8333339893,0.5819253372,17.7040910319,0.5727300216,98.4708704343
0.1867,,,,,,,,,,35.2941176471,,,,,,,14.8906184795,34.3333856623,61.1588668941,39.508325406,3.0839512131,17.9989383629,8.3849478044,0.8093627006,4.6324636366,9.3194357914,9.9428193736,0.6096318366,17.851210996,0.5459543812,98.4325011419
0.1893,,,,,,,35.5555555556,,,,,,,,,,14.759450701,34.1526829892,61.3266440761,39.7327303229,3.1513545093,18.1478420621,8.4880159723,0.7852135607,4.6900995001,9.2318242771,10.052865065,0.6379851758,17.9988980546,0.5198089596,98.3936854776
0.1952,,,,,,,34.4444444444,,,,,,29.4117647059,,,,14.6287747714,33.9722498718,61.4942006857,39.9572863437,3.2195055746,18.2973064606,8.591727288,0.7613830896,4.7481661152,9.1445572872,10.1634699578,0.6669855997,18.1471509998,0.4942945595,98.3544243578
0.2037,,,,,,,,,,,,,,,,20.7547169811,14.1533298414,33.3122645566,62.1073477133,40.7827627222,3.4760883592,18.850742062,8.977940344,0.676673708,4.9650376174,8.8271858746,10.5742554003,0.7789898281,18.6961872789,0.4060585915,98.2065013717
0.2096,,,,,,,34.4444444444,,,,,,,,,,13.6845989191,32.6560489748,62.7174189453,41.6098237227,3.7427630125,19.4116413303,9.3728088127,0.596394936,5.1878243949,8.5145047022,10.992514612,0.8997229684,19.252769877,0.3263741933,98.0526337309
0.2139,,,,63,,29.7619047619,,,,,,,,,,,13.2226490258,32.0037101018,63.3243348328,42.4381171657,4.0195392448,19.9799286031,9.7763212188,0.5206551951,5.4166151848,8.2065508935,11.4181974766,1.0291922004,19.8168336216,0.255279734,97.8928657002
0.2292,,,,,,,35.5555555556,,,,,,,,,,12.7675467501,31.3553541605,63.92801765,43.2672935447,4.3064241039,20.5555252211,10.188463205,0.449564022,5.6515004843,7.9033624776,11.8512533251,1.1674045408,20.3883102486,0.1928132852,97.7272406285
0.2351,,,,,,,,,0,,,,,,,,12.3263777431,30.7212224779,64.5189418668,44.0839087451,4.5986555634,21.1290945839,10.6025095093,0.3842413095,5.888718979,7.6096503691,12.2846229529,1.3119788877,20.9579361931,0.1397944732,97.5585518251
0.2487,,,,,10.1449275362,,,,,,,,,,,,11.8919683615,30.0911495599,65.1065903493,44.9007181158,4.9006840595,21.7095835363,11.0248779596,0.323635265,6.132019626,7.3206301608,12.7250338209,1.4650346862,21.5346028099,0.0952060911,97.3842701825
0.2546,,,,62,,,,,,,,,,,,,11.4643802215,29.4652336323,65.6908945251,45.7174003662,5.2125077913,22.2969076965,11.4555452796,0.2678533811,6.3814932612,7.0363410889,13.172434431,1.626577158,22.1182361113,0.059083744,97.2044346897
0.258,,,,,,,,,,,,5,,,,,11.0436745069,28.8435717915,66.2717876058,46.5336388096,5.5341222168,22.8909795488,11.8944848209,0.2170043584,6.6372320749,6.7568231443,13.6267723637,1.7966113616,22.7087591042,0.0314627691,97.0190835577
0.2648,,94.4444444444,,,,,,,,,,,,,,,10.6275273129,28.2226847467,66.8525506391,47.353859153,5.8674750283,23.4952194674,12.3442898409,0.1709464217,6.9008719275,6.4805350971,14.0906949361,1.9762042402,23.3095834441,0.0122923152,96.8271291822
0.275,,,,,,30.9523809524,,,,,,,,,,,10.2184655536,27.6062954707,67.4297331241,48.1730046919,6.2107146966,24.1060985806,12.8023990602,0.1301022948,7.1710414426,6.2091585222,14.561526088,2.1643964668,23.9172122568,0.001793085,96.6296703866
0.2801,,,,,,,36.6666666667,,,41.1764705882,,,,,,,9.8165501967,26.9944995547,68.0032728877,48.9907710655,6.5638278308,24.7235183823,13.2687746817,0.0945853234,7.4478386338,5.942737334,15.0392093465,2.3611913867,24.5315578212,0,96.4267440215
0.2911,,,,61,,,,,,,,,,,,,9.4218411288,26.3873921193,68.5731098514,49.8068603357,6.9267979862,25.3473770511,13.743375156,0.0645099681,7.7313627672,5.681316805,15.5236872254,2.5665918555,25.1525292383,0.0069475357,96.2183864376
0.2928,,88.8888888889,,,,,,,,,,,,,,22.641509434,9.0296821083,25.7776945976,69.146119264,50.6309736618,7.3042486611,25.9853536137,14.2321391859,0.039725349,8.0253257952,5.4218239829,16.0209796622,2.7832839557,25.7877846497,0.0229177972,96.0019729715
0.2971,,,,,,30.9523809524,,,,,,,,,1.7543859649,,8.645030756,25.1729940637,69.7152164745,51.4527764366,7.6917567489,26.6297085954,14.7292341177,0.0207555507,8.3263908573,5.1675519958,16.5251125978,3.0087985508,26.4296324935,0.0479147372,95.7800671374
0.2987,,,,,,,36.6666666667,,,,,,,,,,8.267947607,24.5733862027,70.2803453606,52.2719828997,8.0892956247,27.2803264592,15.2346047515,0.0077220017,8.6346647361,4.918551398,17.0360230184,3.2431363749,27.0779685113,0.0819726827,95.5527049805
0.314,,,,,,,35.5555555556,20.5882352941,,,,,,,,,7.898493629,23.9789655708,70.841451933,53.0883153467,8.4968354529,27.9370886254,15.7481919716,0.0007468739,8.9502552969,4.6748739512,17.5536467126,3.4862978361,27.7326851512,0.1251255447,95.3199219908
0.3191,,,,,,,36.6666666667,,,,,,,,,,7.5297457514,23.3783820407,71.4093136745,53.9173405106,8.922589713,28.6128661066,16.2801944517,0,9.279649713,4.4319760984,18.0882149485,3.7432873767,28.4066319685,0.1785178814,95.077052174
