Time (min),clk_ANIMO,clk_ODE,
1636.6661, ,0.7305,
1637.7332, ,0.6373,
1639.8047, ,0.5522,
1640.8718, ,0.4731,
1642.8806,5.5556, ,
1643.0061, ,0.4,
1646.2075, ,0.333,
1647.2746, ,0.2732,
1648.1534,11.1111, ,
1653.6774, ,0.2192,
1656.3766, ,0.1712,
1657.1299,5.5556, ,
1659.578, ,0.129,
1662.905,11.1111, ,
1664.3487, ,0.0933,
1666.9852, ,0.0633,
1667.5501, ,0.0391,
1668.0523, ,0.0207,
1669.1194, ,0.0082,
1670.8771,5.5556, ,
1671.2537, ,0.0013,
1671.8187, ,0,
1676.0872, ,0.0044,
1677.0915,11.1111, ,
1678.2214, ,0.0143,
1684.4359,5.5556, ,
1689.3949, ,0.0297,
1690.7759,11.1111, ,
1693.0985, ,0.0506,
1695.2328, ,0.0771,
1697.367, ,0.1087,
1698.1203,5.5556, ,
1698.9991, ,0.1458,
1700.5684, ,0.1884,
1702.1378, ,0.2364,
1703.7698,11.1111, ,
1704.837, ,0.2892,
1710.1726, ,0.3475,
1711.2398,5.5556, ,
1712.3069, ,0.4111,
1715.5083, ,0.4801,
1716.0105, ,0.5538,
1719.7768, ,0.6328,
1722.9154, ,0.7171,
1723.857, ,0.8067,
1724.2964,0, ,
1726.6818, ,0.9009,
1729.0044,5.5556, ,
1730.3854, ,1.0003,
1734.1517, ,1.105,
1736.7881, ,1.215,
1737.2276,0, ,
1737.8553, ,1.3294,
1739.9895, ,1.4491,
1740.9939,5.5556, ,
1741.3078, ,1.574,
1744.7602, ,1.7041,
1746.3923, ,1.8387,
1749.5937, ,1.9786,
1749.8448,0, ,
1752.2302, ,2.1237,
1752.4813,5.5556, ,
1757.0636, ,2.2739,
1758.1308, ,2.429,
1758.633, ,2.5893,
1761.3322, ,2.7548,
1762.5248,0, ,
1763.4664, ,2.9254,
1763.7175,5.5556, ,
1767.17, ,3.1015,
1776.7742, ,3.2828,
1779.4106, ,3.4693,
1782.612, ,3.661,
1784.2441, ,3.8592,
1784.7463, ,4.0628,
1785.5623,11.1111, ,
1786.8806, ,4.2716,
1787.0689,5.5556, ,
1790.082, ,4.4857,
1793.2833, ,4.7084,
1796.0453,11.1111, ,
1796.4847, ,4.9366,
1799.1212,5.5556, ,
1799.435,5.5556, ,
1799.6861, ,5.1702,
