Time (min),CLK_ANIMO,CLK_ODE,
1577.095,20, ,
1577.4717, ,19.8492,
1577.5344,30, ,
1578.0366, ,19.275,
1580.1709,20, ,
1580.6103,30, ,
1581.7402, ,18.7131,
1583.3723,20, ,
1583.7489,30, ,
1584.4394, ,18.1579,
1586.0087, ,17.6093,
1586.4481,20, ,
1587.5153,30, ,
1587.6408, ,17.0675,
1588.7079, ,16.5716,
1589.8378,20, ,
1590.7794,30, ,
1592.4115, ,16.0817,
1592.8509,20, ,
1594.0436, ,15.5977,
1594.1064,30, ,
1596.1151,20, ,
1597.3705,30, ,
1597.7472, ,15.1199,
1599.3165,20, ,
1600.823,30, ,
1601.4507, ,14.6733,
1602.4551,20, ,
1604.0872,30, ,
1604.15, ,14.2322,
1605.7193,20, ,
1607.2886,30, ,
1607.728, ,13.7967,
1608.9207,20, ,
1610.6783,30, ,
1611.0549, ,13.367,
1611.871,20, ,
1614.1935,30, ,
1614.8213, ,12.96,
1615.1979,20, ,
1617.5833,30, ,
1618.0227,20, ,
1618.5248, ,12.5583,
1619.592, ,12.162,
1620.973,30, ,
1621.2868,20, ,
1622.2284, ,11.7712,
1624.3627,20, ,
1625.4298, ,11.3982,
1627.0619, ,11.0305,
1629.1962, ,10.668,
1630.2633, ,10.3108,
1632.8997, ,9.9684,
1633.4647, ,9.631,
1636.6661, ,9.2988,
1637.7332, ,8.9717,
1639.8047, ,8.6572,
1640.8718, ,8.3477,
1643.0061, ,8.0433,
1644.136,10, ,
1644.5754,20, ,
1646.2075, ,7.7439,
1647.2746, ,7.4555,
1647.3374,10, ,
1647.714,20, ,
1650.6016,10, ,
1651.4804,20, ,
1653.6774,10,7.1721,
1654.9329,20, ,
1656.3766, ,6.8936,
1657.1299,10, ,
1658.3854,20, ,
1659.578, ,6.6202,
1660.3941,10, ,
1661.524,20, ,
1663.5327,10, ,
1664.3487, ,6.3565,
1665.1648,20, ,
1666.6713,10, ,
1666.9852, ,6.0977,
1667.5501, ,5.8439,
1668.0523, ,5.595,
1668.4917,20, ,
1669.1194, ,5.3549,
1670.061,10, ,
1671.2537, ,5.1197,
1671.8187, ,4.8894,
1671.8814,20, ,
1673.388,10, ,
1675.3967,20, ,
1676.0872, ,4.664,
1676.5894,10, ,
1678.2214, ,4.4466,
1678.7236,20, ,
1679.7908,10, ,
1682.0506,20, ,
1682.9922,10, ,
1685.5031,20, ,
1685.8797,10, ,
1688.9555,20, ,
1689.3322,10, ,
1689.3949, ,4.2341,
1692.408,10, ,
1693.0985, ,4.0265,
1695.2328, ,3.8237,
1697.367, ,3.6284,
1698.9991, ,3.4379,
1700.5684, ,3.2522,
1702.1378, ,3.0715,
1704.837, ,2.8976,
1710.1726, ,2.7285,
1712.3069, ,2.5643,
1712.3697,10, ,
1715.5083, ,2.4049,
1715.8221,10, ,
1716.0105, ,2.252,
1719.2119,0, ,
1719.6513,10, ,
1719.7768, ,2.1038,
1722.476,0, ,
1722.7899,10, ,
1722.9154, ,1.9605,
1723.857, ,1.8221,
1725.7402,0, ,
1726.1796,10, ,
1726.6818, ,1.6897,
1729.0044,0, ,
1730.0087,10, ,
1730.3854, ,1.5621,
1732.3941,0, ,
1733.4612,10, ,
1734.1517, ,1.4394,
1735.721,0, ,
1736.7881, ,1.3216,
1736.8509,10, ,
1737.8553, ,1.2094,
1739.048,0, ,
1739.9895, ,1.102,
1740.3034,10, ,
1741.3078, ,0.9995,
1742.1866,0, ,
1743.6931,10, ,
1744.7602, ,0.9019,
1745.5763,0, ,
1746.3923, ,0.8097,
1747.2084,10, ,
1748.9032,0, ,
1749.5937, ,0.7223,
1750.5353,10, ,
1752.2302, ,0.6398,
1752.2929,0, ,
1754.0506,10, ,
1755.4316,0, ,
1757.0636, ,0.5622,
1757.3775,10, ,
1758.1308, ,0.4898,
1758.633,0,0.4222,
1760.5789,10, ,
1761.3322, ,0.3596,
1762.211,0, ,
1763.4664, ,0.302,
1764.3452,10, ,
1765.2868,0, ,
1767.17, ,0.2493,
1767.7977,10, ,
1768.8021,0, ,
1771.1247,10, ,
1772.0035,0, ,
1774.7027,10, ,
1775.0166,0, ,
1776.7742, ,0.2015,
1777.9669,10, ,
1778.3435,0, ,
1779.4106, ,0.1588,
1781.5449,10, ,
1781.9215,0, ,
1782.612, ,0.1212,
1784.2441, ,0.0884,
1784.7463, ,0.0607,
1784.9346,0, ,
1786.8806, ,0.0382,
1790.082, ,0.0208,
1793.2833, ,0.0085,
1796.4847, ,0.0016,
1799.435,0, ,
1799.6861, ,0,
