Time (min),CWO_ANIMO,CWO_ODE,
1523.1735, ,7.3206,
1524.7428, ,7.0363,
1525.6844,11.5942, ,
1527.9442, ,6.7568,
1533.2799, ,6.4805,
1535.4141, ,6.2092,
1536.9834, ,5.9427,
1540.1848, ,5.6813,
1540.6242,13.0435, ,
1545.5205, ,5.4218,
1546.3365, ,5.1676,
1547.4664,14.4928, ,
1547.6548, ,4.9186,
1550.354, ,4.6749,
1552.8021,13.0435, ,
1553.5554, ,4.432,
1554.3086,14.4928, ,
1560.7742,15.942, ,
1560.9625, ,4.1947,
1562.5946, ,3.9632,
1563.0968, ,3.7374,
1567.1142,17.3913, ,
1569.7507,15.942, ,
1570.5667, ,3.5115,
1572.701, ,3.2918,
1573.1404,17.3913, ,
1577.4717, ,3.0784,
1578.0366, ,2.8713,
1579.041,18.8406, ,
1581.7402, ,2.6727,
1584.4394, ,2.4805,
1584.565,18.8406, ,
1586.0087, ,2.2948,
1587.6408, ,2.1156,
1588.7079, ,1.9554,
1590.2145,20.2899, ,
1592.4115, ,1.801,
1594.0436, ,1.6524,
1595.8012,21.7391, ,
1597.7472, ,1.5097,
1599.3165,20.2899, ,
1600.9486,21.7391, ,
1601.4507, ,1.38,
1604.15, ,1.2557,
1606.2842,23.1884, ,
1607.728, ,1.1369,
1611.0549, ,1.0236,
1611.3688,24.6377, ,
1611.871,23.1884, ,
1614.8213, ,0.92,
1616.4534,24.6377, ,
1618.5248, ,0.8216,
1619.592, ,0.7285,
1621.2868,26.087, ,
1622.2284, ,0.6406,
1624.4255,24.6377, ,
1625.4298, ,0.5607,
1626.3714,26.087, ,
1627.0619, ,0.4858,
1629.1962, ,0.4161,
1630.2633, ,0.3516,
1631.0166,27.5362, ,
1632.8997, ,0.2938,
1633.4647, ,0.241,
1636.6661, ,0.1932,
1637.7332, ,0.1506,
1639.8047, ,0.114,
1640.4952,28.9855, ,
1640.8718, ,0.0823,
1643.0061, ,0.0557,
1645.0148,30.4348, ,
1646.2075, ,0.0342,
1646.898,28.9855, ,
1647.2746, ,0.0181,
1649.4089,30.4348, ,
1653.6774, ,0.007,
1653.9913,31.8841, ,
1656.3766, ,0.0009,
1657.381,30.4348, ,
1658.3854,31.8841, ,
1659.578, ,0,
1662.7794,33.3333, ,
1664.3487, ,0.0041,
1666.9852, ,0.0132,
1667.5501, ,0.0274,
1668.0523, ,0.0467,
1669.1194, ,0.0708,
1671.2537,34.7826,0.1,
1671.8187, ,0.1343,
1675.4595,36.2319, ,
1676.0872, ,0.1737,
1676.5266,34.7826, ,
1678.2214, ,0.2178,
1679.7908,36.2319, ,
1683.871,37.6812, ,
1685.5031,36.2319, ,
1688.2023,37.6812, ,
1689.3949, ,0.2669,
1692.408,39.1304, ,
1693.0985, ,0.3213,
1694.4167,37.6812, ,
1695.2328, ,0.3809,
1696.4255,39.1304, ,
1697.367, ,0.4449,
1698.9991, ,0.5141,
1700.5684,40.5797,0.5886,
1702.1378, ,0.6685,
1702.9538,39.1304, ,
1704.5859,40.5797, ,
1704.837, ,0.7526,
1708.5405,42.029, ,
1710.1726, ,0.8421,
1711.2398,40.5797, ,
1712.3069, ,0.9369,
1712.6835,42.029, ,
1715.5083, ,1.0371,
1716.0105, ,1.1417,
1716.6382,43.4783, ,
1719.2746,42.029, ,
1719.7768, ,1.2517,
1720.6556,43.4783, ,
1722.9154, ,1.3671,
1723.857, ,1.488,
1724.6103,44.9275, ,
1726.6818, ,1.6133,
1726.8701,43.4783, ,
1728.6277,44.9275, ,
1730.3854, ,1.7441,
1732.5824,46.3768, ,
1734.1517, ,1.8804,
1734.5283,44.9275, ,
1736.4115,46.3768, ,
1736.7881, ,2.0223,
1737.8553, ,2.1688,
1739.9895, ,2.321,
1740.3034,47.8261, ,
1741.3078, ,2.4787,
1741.9355,46.3768, ,
1744.007,47.8261, ,
1744.7602, ,2.6422,
1746.3923, ,2.8105,
1747.8989,49.2754, ,
1749.0915,47.8261, ,
1749.5937, ,2.9846,
1751.6652,49.2754, ,
1752.2302, ,3.1644,
1755.4316,50.7246, ,
1755.9337,49.2754, ,
1757.0636, ,3.3501,
1758.1308, ,3.5412,
1758.633, ,3.7382,
1759.3235,50.7246, ,
1761.3322, ,3.9411,
1763.4664, ,4.15,
1767.0445,52.1739, ,
1767.17, ,4.3651,
1769.9948,50.7246, ,
1770.3714,52.1739, ,
1774.6399,53.6232, ,
1776.5231,52.1739, ,
1776.7742, ,4.5863,
1778.3435,53.6232, ,
1779.4106, ,4.8137,
1782.1726,55.0725, ,
1782.612,53.6232,5.0472,
1784.2441, ,5.2885,
1784.7463, ,5.5362,
1786.0017,55.0725, ,
1786.8806, ,5.7903,
1790.082, ,6.0507,
1793.2833, ,6.3217,
1793.66,56.5217, ,
1795.9198,55.0725, ,
1796.4847, ,6.5994,
1797.4891,56.5217, ,
1799.435,56.5217, ,
1799.6861, ,6.8838,
