Time (min),per_ANIMO,per_ODE,
767.2049, ,37.6679,
769.2764, ,37.1294,
777.3112, ,36.6171,
778.3784, ,36.1065,
780.5126, ,35.5977,
782.6469, ,35.0908,
785.8483, ,34.603,
786.8527, ,34.1171,
788.9869, ,33.633,
794.3226, ,33.1508,
800.9765, ,32.6835,
802.8596, ,32.2182,
804.4917, ,31.7547,
806.626, ,31.2931,
807.6931, ,30.8436,
809.2624, ,30.3961,
809.7646, ,29.9505,
817.2345, ,29.5068,
821.0009, ,29.0732,
827.9058, ,28.6416,
829.5379, ,28.212,
830.5423, ,27.7843,
831.6094, ,27.3652,
834.3086, ,26.9481,
842.2807, ,26.533,
843.9128, ,26.12,
852.4499, ,25.7143,
854.0192, ,25.3107,
855.5885, ,24.9091,
857.7228, ,24.5096,
863.6234, ,24.1166,
867.3269, ,23.7256,
868.3941, ,23.3367,
870.5283, ,22.9499,
874.2319, ,22.5688,
877.9983, ,22.1899,
882.769, ,21.813,
884.9032, ,21.4384,
888.6696, ,21.0688,
891.871, ,20.7013,
893.4403, ,20.3361,
896.0767, ,19.973,
898.211, ,19.6145,
899.2781, ,19.2583,
903.0445, ,18.9042,
903.9233, ,18.5524,
911.0166, ,18.2048,
914.218, ,17.8594,
916.7289, ,17.5163,
917.4194, ,17.1755,
918.4865, ,16.8385,
920.0558, ,16.5039,
920.6207, ,16.1715,
921.6879, ,15.8415,
923.8221, ,15.5151,
927.5257, ,15.1911,
930.0366, ,14.8695,
932.3592, ,14.5502,
933.9285, ,14.2344,
937.6321, ,13.9211,
941.3984, ,13.6101,
943.3444, ,13.3015,
945.102, ,13.2833,
948.3034, ,13.2651,
952.0697, ,13.2469,
952.5719, ,13.2288,
953.6391, ,13.2258,
955.7733, ,13.2228,
956.6521, ,13.2199,
958.9747, ,13.2169,
962.1761, ,13.2149,
964.3104, ,13.2129,
966.9468, ,13.211,
973.3496, ,13.209,
976.551, ,13.207,
977.0532, ,13.2051,
978.1203, ,13.2031,
980.2546, ,13.2011,
987.7245, ,13.1991,
991.4908, ,13.1971,
996.2616, ,13.1951,
998.3958, ,13.1931,
1003.1665, ,13.183,
1006.9329, ,13.1729,
1009.0671, ,13.1629,
1010.6364, ,13.1528,
1012.2685, ,13.1026,
1014.4028, ,13.0524,
1014.905, ,13.0023,
1016.8509, ,12.9523,
1018.1064, ,12.9048,
1018.6085, ,12.8573,
1019.6757, ,12.81,
1020.7428, ,12.7627,
1022.8771, ,12.527,
1031.4141, ,12.2928,
1033.5484, ,12.0602,
1038.884, ,11.829,
1041.5205, ,11.4836,
1044.2197, ,11.1417,
1050.0575, ,10.8033,
1051.6896, ,10.4686,
1054.891, ,10.1576,
1058.0924, ,9.8499,
1060.1639, ,9.5455,
1061.796, ,9.2445,
1062.8631, ,8.9633,
1065.4996, ,8.6852,
1070.333, ,8.4103,
1074.0366, ,8.1385,
1074.6016, ,7.8862,
1076.7358, ,7.6369,
1080.4394, ,7.3905,
1081.5065, ,7.1472,
1083.6408, ,6.9206,
1085.2101, ,6.6968,
1086.8422, ,6.4759,
1090.5458, ,6.258,
1092.1779, ,6.051,
1093.245, ,5.8469,
1096.4464, ,5.6457,
1099.0828, ,5.4474,
1102.7864, ,5.2512,
1104.9207, ,5.058,
1108.1221, ,4.868,
1110.8213, ,4.6812,
1115.592, ,4.4832,
1118.7934, ,4.2892,
1120.9276, ,4.099,
1121.9948, ,3.9129,
1124.129, ,3.73,
1125.1962, ,3.5512,
1126.2633, ,3.3766,
1134.8003, ,3.2064,
1140.136, ,3.037,
1142.7724, ,2.8723,
1145.4089, ,2.7121,
1149.1752, ,2.5565,
1151.8117, ,2.3999,
1152.3766, ,2.2484,
1156.0802, ,2.1019,
1159.2816, ,1.9605,
1161.4159, ,1.8168,
1163.5501, ,1.6788,
1166.7515, ,1.5463,
1172.0872, ,1.4195,
1172.5894, ,1.2902,
1175.7908, ,1.1672,
1180.0593, ,1.0506,
1181.6914, ,0.9403,
1183.7629, ,0.8286,
1184.83, ,0.7241,
1185.8971, ,0.6269,
1186.9643, ,0.5369,
1188.0314, ,0.448,
1190.7306, ,0.3673,
1193.367, ,0.2948,
1193.932, ,0.2304,
1197.1334, ,0.1708,
1198.7027, ,0.1202,
1199.5815, ,0.0785,
1200.3348, ,0.0457,
1202.469, ,0.021,
1205.6077, ,0.0058,
1208.3069, ,0,
1210.4412, ,0.0036,
1212.0105, ,0.0081,
1215.2119, ,0.0142,
1216.279, ,0.022,
1220.0453, ,0.0315,
1222.1796, ,0.0427,
1225.8832, ,0.0556,
1228.5196, ,0.0702,
1232.286, ,0.0865,
1237.0567, ,0.1211,
1237.0567, ,0.1615,
1240.823, ,0.2077,
1242.3923, ,0.2596,
1246.0959, ,0.3195,
1251.9965, ,0.3855,
1253.0636, ,0.4577,
1254.1308, ,0.5361,
1256.265, ,0.627,
1257.3322, ,0.725,
1261.0357, ,0.8302,
1264.8021, ,0.9425,
1265.8065, ,1.0707,
1267.9407, ,1.2072,
1268.3801,5.8824, ,
1271.7071, ,1.352,
1272.7742, ,1.505,
1273.2764, ,1.6779,
1275.4106, ,1.8602,
1277.5449, ,2.0522,
1278.612, ,2.2537,
1281.3112, ,2.4779,
1284.2616, ,2.713,
1286.5841, ,2.959,
1288.4673,0, ,
1291.4176, ,3.216,
1295.1212, ,3.4955,
1297.8204, ,3.787,
1299.7663,5.8824, ,
1301.0218, ,4.0907,
1302.0889, ,4.4066,
1304.2232, ,4.7408,
1308.9939, ,5.0878,
1312.6975, ,5.4477,
1314.3296, ,5.8205,
1315.6478,0, ,
1316.2755, ,6.2055,
1321.6739, ,6.6035,
1323.3688, ,7.0145,
1324.0593,5.8824, ,
1324.4359, ,7.4386,
1326.5702, ,7.87,
1329.2066, ,8.3141,
1331.9058, ,8.7711,
1333.4752, ,9.241,
1337.2415, ,9.7154,
1339.3758, ,10.2023,
1340.4429, ,10.7016,
1343.0793, ,11.2134,
1344.2092,11.7647, ,
1346.2807, ,11.7289,
1347.9128, ,12.2564,
1349.4821, ,12.7959,
1349.6704,5.8824, ,
1352.1186, ,13.3472,
1353.1857, ,13.9025,
1353.7507, ,14.4693,
1355.32, ,15.0474,
1359.5885, ,15.6368,
1360.9695,11.7647, ,
1362.2877, ,16.2306,
1363.3548, ,16.8353,
1364.9241, ,17.4506,
1365.4891, ,18.0765,
1368.1255, ,18.7076,
1375.0305, ,19.3489,
1376.0976, ,20,
1376.9137,17.6471, ,
1378.7969, ,20.6609,
1379.864, ,21.328,
1380.9311, ,22.0044,
1383.7559,11.7647, ,
1384.1325, ,22.6898,
1387.3339, ,23.3841,
1390.5981,17.6471, ,
1391.0375, ,24.0858,
1394.7411, ,24.7959,
1395.8082, ,25.514,
1396.8753, ,26.24,
1398.5074, ,26.9751,
1401.7088, ,27.7174,
1402.7759,23.5294, ,
1404.9102, ,28.4668,
1407.5466, ,29.2229,
1408.4882,17.6471, ,
1409.6809, ,29.9903,
1411.8152, ,30.7639,
1415.5187,23.5294,30.8436,
1420.8544, ,31.2931,
1422.4865, ,31.7547,
1426.1901, ,32.2182,
1428.3243, ,32.6835,
1431.2119,17.6471, ,
1433.66, ,33.1508,
1436.9241,23.5294, ,
1438.9956, ,33.633,
1445.3984, ,34.1171,
1446.905,29.4118, ,
1450.5458,23.5294, ,
1452.8056, ,34.603,
1456.007, ,35.0908,
1456.7602,29.4118, ,
1457.0741, ,35.0753,
1460.8405, ,35.8963,
1462.9747, ,36.721,
1465.6112, ,37.5492,
1465.925,35.2941, ,
1468.8126, ,37.7376,
1469.3147,29.4118, ,
1470.4446, ,37.9261,
1471.5118, ,38.1147,
1474.4621,35.2941, ,
1478.9189, ,38.3035,
1480.551, ,38.4924,
1482.5597,41.1765, ,
1483.7524, ,38.6815,
1484.6312,35.2941, ,
1489.9041, ,38.8707,
1490.218,41.1765, ,
1491.4734,35.2941, ,
1491.7245, ,39.06,
1498.1273,41.1765, ,
1499.6966,35.2941,39.2841,
1501.8309, ,39.5083,
1502.3958, ,39.7327,
1503.9651, ,39.9573,
1505.4717,41.1765, ,
1507.7315, ,40.7828,
1511.435, ,41.6098,
1512.3766,47.0588, ,
1513.4438,41.1765, ,
1515.1386, ,42.4381,
1519.2816,47.0588, ,
1521.0392, ,43.2673,
1521.5414, ,44.0839,
1523.1735, ,44.9007,
1524.7428, ,45.7174,
1525.6844,47.0588, ,
1527.9442, ,46.5336,
1532.7777,52.9412, ,
1533.2799, ,47.3539,
1535.4141, ,48.173,
1536.9834, ,48.9908,
1537.0462,47.0588, ,
1539.1805,52.9412, ,
1540.1848, ,49.8069,
1541.8169,47.0588, ,
1545.3322,52.9412, ,
1545.5205, ,50.631,
1546.3365, ,51.4528,
1547.4664,47.0588, ,
1547.6548, ,52.272,
1550.354, ,53.0883,
1551.4839,52.9412, ,
1553.5554, ,53.9173,
1560.9625, ,54.7428,
1562.5946, ,55.5645,
1562.8457,58.8235, ,
1563.0968, ,56.3821,
1566.3609,52.9412, ,
1568.4324,58.8235, ,
1570.5667, ,57.2177,
1572.701, ,58.0485,
1574.1447,64.7059, ,
1574.5841,58.8235, ,
1577.4717, ,58.8742,
1578.0366, ,59.6947,
1579.4804,64.7059, ,
1581.7402, ,60.5012,
1582.8701,58.8235, ,
1584.4394, ,61.3022,
1586.0087, ,62.0974,
1587.6408, ,62.8866,
1588.7079, ,63.6123,
