Time (min),CRY_ANIMO,CRY_ODE,
660.1779,52.1277, ,
660.5545,51.0638, ,
661.0567,52.1277, ,
661.4961,53.1915, ,
661.6844, ,1.9231,
661.9355,54.2553, ,
662.3121,55.3191, ,
662.7515,54.2553, ,
663.1909,55.3191, ,
663.5676,56.383, ,
664.007,57.4468, ,
665.1369, ,1.726,
665.5135,58.5106, ,
665.9529,59.5745, ,
666.3923,60.6383, ,
667.7105,61.7021, ,
668.15,62.766, ,
669.4054,63.8298, ,
669.6565, ,1.5402,
669.7193,64.8936, ,
670.7236, ,1.3655,
671.163,65.9574, ,
671.2886, ,1.2019,
671.4141,67.0213, ,
671.8535,67.0213, ,
672.7951,68.0851, ,
673.109,69.1489, ,
673.4228, ,1.0353,
673.5484,69.1489, ,
674.5527,70.2128, ,
675.0549,71.2766, ,
676.3104,72.3404, ,
677.3775,73.4043, ,
677.7541,74.4681, ,
678.1935,75.5319, ,
678.633,74.4681, ,
679.0096,75.5319, ,
679.449,76.5957, ,
679.9512,76.5957, ,
680.9555,77.6596, ,
682.211,78.7234, ,
682.4621, ,0.8817,
682.6504,79.7872, ,
683.5292, ,0.7409,
684.0942,80.8511, ,
685.4124,81.9149, ,
686.6678,82.9787, ,
687.9233,84.0426, ,
689.2415,85.1064, ,
689.6809,86.1702, ,
690.1203,85.1064, ,
690.4342, ,0.6128,
690.4969,86.1702, ,
692.0035,87.234, ,
692.3801,87.234, ,
693.6356,88.2979,0.4842,
695.2677, ,0.3712,
695.8326,89.3617, ,
696.272,89.3617, ,
697.3391,90.4255, ,
697.4019, ,0.2734,
697.9041, ,0.1908,
698.9085,90.4255, ,
699.2851,91.4894, ,
701.3566,92.5532, ,
701.7332,92.5532, ,
703.8675,93.617, ,
706.3784,94.6809, ,
706.8178,93.617, ,
706.9433, ,0.1134,
707.1944,94.6809, ,
708.5754, ,0.056,
710.0192,95.7447, ,
710.4586,94.6809, ,
710.898,95.7447, ,
713.9738,96.8085, ,
714.3505,95.7447, ,
714.7899,96.8085, ,
719.2467, ,0.0183,
719.7489, ,0,
719.8745,97.8723, ,
720.2511,96.8085, ,
720.565,97.8723, ,
721.8832, ,0.0045,
722.6364, ,0.0398,
723.5153, ,0.1053,
724.5824, ,0.2005,
727.2188,98.9362,0.3246,
727.5955,97.8723, ,
728.0349,98.9362, ,
729.8553, ,0.4772,
731.4874, ,0.658,
735.7559, ,0.8665,
738.3923, ,1.102,
739.2084, ,1.3643,
742.1587, ,1.6529,
744.0418,98.9362, ,
745.3601, ,1.9676,
747.4943,98.9362, ,
747.9965, ,2.2402,
748.5615,100, ,
749.0009,98.9362, ,
749.5031,100, ,
749.8797,98.9362, ,
750.9468,100, ,
751.1979, ,2.5293,
751.3862,98.9362, ,
751.7629,100, ,
752.2023,98.9362, ,
753.1439,100, ,
753.3322, ,2.8346,
753.5205,98.9362, ,
754.4621,100, ,
754.7759,98.9362, ,
755.2153,100, ,
755.4664, ,3.1561,
755.4664, ,3.4512,
756.0314,98.9362, ,
756.4708,100, ,
757.0357, ,3.7585,
757.3496,98.9362, ,
757.7262,100, ,
758.1656,98.9362, ,
758.6051,100, ,
759.735,100, ,
760.8021, ,4.0777,
763.4385, ,4.4088,
765.5728, ,4.7284,
765.5728, ,5.0581,
767.2049, ,5.3978,
769.2764, ,5.7474,
777.3112, ,6.0903,
778.3784, ,6.4421,
780.5126, ,6.8026,
782.6469, ,7.1719,
785.8483, ,7.5366,
786.8527, ,7.9093,
788.9869, ,8.2899,
794.3226, ,8.6783,
800.9765, ,9.0636,
802.8596, ,9.4561,
804.4917, ,9.8559,
806.626, ,10.2628,
807.6931, ,10.6675,
809.2624, ,11.0789,
809.7646, ,11.497,
817.2345, ,11.9217,
821.0009, ,12.3449,
827.9058, ,12.7743,
829.5379, ,13.21,
830.5423, ,13.6517,
831.6094, ,14.0926,
834.3086, ,14.5394,
842.2807, ,14.9918,
