Time (min),TIM_ANIMO,TIM_ODE,
911.0166, ,45.1708,
914.218, ,44.6411,
916.7289, ,44.1127,
917.4194, ,43.5858,
918.4865, ,43.0627,
920.0558, ,42.5412,
920.6207, ,42.0211,
921.6879, ,41.5027,
923.8221, ,40.988,
927.5257, ,40.4749,
930.0366, ,39.9636,
932.3592, ,39.4539,
933.9285, ,38.948,
937.6321, ,38.4438,
941.3984, ,37.9415,
943.3444, ,37.441,
945.102, ,37.4114,
948.3034, ,37.3819,
952.0697, ,37.3523,
952.5719, ,37.3227,
953.6391, ,37.3179,
955.7733, ,37.3131,
956.6521, ,37.3083,
958.9747, ,37.3034,
962.1761, ,37.3002,
964.3104, ,37.297,
966.9468, ,37.2938,
973.3496, ,37.2906,
976.551, ,37.2874,
977.0532, ,37.2842,
978.1203, ,37.281,
980.2546, ,37.2777,
987.7245, ,37.2745,
991.4908, ,37.2712,
996.2616, ,37.2679,
998.3958, ,37.2646,
1003.1665, ,37.2483,
1006.9329, ,37.2319,
1009.0671, ,37.2155,
1010.6364, ,37.1991,
1012.2685, ,37.1173,
1014.4028, ,37.0355,
1014.905, ,36.9538,
1016.8509, ,36.8722,
1018.1064, ,36.7946,
1018.6085, ,36.7171,
1019.6757, ,36.6397,
1020.7428, ,36.5623,
1022.8771, ,36.176,
1031.4141, ,35.7911,
1033.5484, ,35.4075,
1038.884, ,35.0252,
1041.5205, ,34.4517,
1044.2197, ,33.8815,
1050.0575, ,33.3146,
1051.6896, ,32.751,
1054.891, ,32.2251,
1058.0924, ,31.7023,
1060.1639, ,31.1826,
1061.796, ,30.6661,
1062.8631, ,30.1813,
1065.4996, ,29.6995,
1070.333, ,29.2207,
1074.0366, ,28.7449,
1074.6016, ,28.3007,
1076.7358, ,27.8592,
1080.4394, ,27.4206,
1081.5065, ,26.9847,
1083.6408, ,26.5763,
1085.2101, ,26.1704,
1086.8422, ,25.7671,
1090.5458, ,25.3664,
1092.1779, ,24.9832,
1093.245, ,24.6025,
1096.4464, ,24.2242,
1099.0828, ,23.8485,
1102.7864, ,23.4734,
1104.9207, ,23.1008,
1108.1221, ,22.7308,
1110.8213, ,22.3635,
1115.592, ,21.9699,
1118.7934, ,21.5796,
1120.9276, ,21.1923,
1121.9948, ,20.8082,
1124.129, ,20.4254,
1125.1962, ,20.046,
1126.2633, ,19.6698,
1134.8003, ,19.2969,
1140.136, ,18.9198,
1142.7724, ,18.5462,
1145.4089, ,18.1762,
1149.1752, ,17.8098,
1151.8117, ,17.4335,
1152.3766, ,17.061,
1156.0802, ,16.6926,
1159.2816, ,16.3281,
1161.4159, ,15.948,
1163.5501, ,15.5725,
1166.7515, ,15.2015,
1172.0872, ,14.835,
1172.5894, ,14.4483,
1175.7908, ,14.0668,
1180.0593, ,13.6906,
1181.6914, ,13.3196,
1183.7629, ,12.9259,
1184.83, ,12.5383,
1185.8971, ,12.1568,
1186.9643, ,11.7815,
1188.0314, ,11.3846,
1190.7306, ,10.9948,
1193.367, ,10.6121,
1193.932, ,10.2365,
1197.1334, ,9.8453,
1198.7027, ,9.4621,
1199.5815, ,9.0868,
1200.3348, ,8.7193,
1202.469, ,8.3451,
1205.6077, ,7.9793,
1208.3069, ,7.6218,
1210.4412, ,7.2727,
1212.0105, ,7.1262,
1215.2119, ,6.9812,
1216.279, ,6.8377,
1220.0453, ,6.6957,
1222.1796, ,6.5553,
1225.8832, ,6.4163,
1228.5196, ,6.2789,
1232.286, ,6.143,
1237.0567, ,5.8953,
1237.0567, ,5.6529,
1240.823, ,5.4158,
1242.3923, ,5.1839,
1246.0959, ,4.9494,
1251.9965, ,4.7205,
1253.0636, ,4.4974,
1254.1308, ,4.2799,
1256.265, ,4.0528,
1257.3322, ,3.8323,
1261.0357, ,3.6182,
1264.8021, ,3.4106,
1265.8065, ,3.1951,
1267.9407, ,2.9871,
1271.7071, ,2.7864,
1272.7742, ,2.5929,
1273.2764, ,2.394,
1275.4106, ,2.2034,
1277.5449, ,2.021,
1278.612, ,1.8467,
1281.3112, ,1.6709,
1284.2616, ,1.5041,
1286.5841, ,1.3463,
1291.4176, ,1.1975,
1295.1212, ,1.052,
1297.8204, ,0.9162,
1301.0218, ,0.7899,
1302.0889, ,0.6731,
1304.2232, ,0.5639,
1308.9939, ,0.4645,
1312.6975, ,0.3749,
1314.3296, ,0.2949,
1316.2755, ,0.2247,
1321.6739, ,0.1641,
1323.3688, ,0.1131,
1324.4359, ,0.0715,
1326.5702, ,0.0398,
