Time (min),cwo_ANIMO,cwo_ODE,
353.3461, ,99.9709,
353.4089,98.8095, ,
353.8483,100, ,
354.2877,98.8095, ,
354.7271,100, ,
355.1665,98.8095, ,
355.6059,100, ,
356.0453,98.8095, ,
356.9241, ,99.9924,
357.9913, ,100,
358.0541,98.8095, ,
358.4307,100, ,
359.4978,98.8095, ,
359.9372,100, ,
360.3766,98.8095, ,
360.816,100, ,
361.1927,98.8095, ,
361.6321,100, ,
363.2014,98.8095, ,
364.2058,98.8095, ,
364.6452,100, ,
366.4656,98.8095, ,
366.5283, ,99.9937,
366.905,100, ,
367.2816,98.8095, ,
367.5955, ,99.9737,
367.721,100, ,
369.2276, ,99.939,
369.4159,98.8095, ,
369.8553,100, ,
370.2947,98.8095, ,
370.6713,100, ,
371.3618, ,99.89,
372.5545,98.8095, ,
372.8684,100, ,
373.3078,98.8095, ,
373.8099,100, ,
374.2493,98.8095, ,
374.6888,100, ,
375.1282,98.8095, ,
375.5048,100, ,
375.5676, ,99.8269,
375.9442,100, ,
376.3836,98.8095, ,
376.823,100, ,
377.2624,98.8095, ,
377.7018,100, ,
378.204,98.8095, ,
378.5179,100, ,
378.9573,97.619, ,
379.3967,98.8095, ,
379.7733,100, ,
380.2127,98.8095, ,
380.5266,100, ,
380.8405,98.8095, ,
381.2799,100, ,
382.1587,98.8095, ,
383.6024, ,99.7498,
384.1046, ,99.6562,
384.6696,98.8095, ,
385.109,100, ,
385.4856,98.8095, ,
386.8038, ,99.548,
392.4534,97.619, ,
392.8928,98.8095, ,
393.2694,97.619, ,
393.646,98.8095, ,
394.2738, ,99.4254,
395.4664,97.619, ,
395.7803,98.8095, ,
396.1569,97.619, ,
396.5336,98.8095, ,
398.4795, ,99.2885,
399.0445,97.619, ,
400.8021,97.619, ,
401.3043,98.8095, ,
401.7437,97.619, ,
405.3217,96.4286, ,
405.4473, ,99.1329,
405.6983,97.619, ,
407.0166, ,98.9624,
408.9625,96.4286, ,
409.7786,96.4286, ,
410.7829, ,98.7772,
411.5362,97.619, ,
411.85,96.4286, ,
413.9843, ,98.5775,
415.2398,95.2381, ,
415.5536, ,98.3559,
415.6792,96.4286, ,
416.0558,95.2381,98.1191,
416.4952,96.4286, ,
416.9346,95.2381, ,
417.374,96.4286, ,
417.8134,95.2381, ,
418.2528,96.4286, ,
418.6922,95.2381, ,
420.5126,95.2381, ,
421.3915,95.2381, ,
421.7681,96.4286, ,
422.2075,95.2381, ,
425.1578, ,97.8674,
426.2877,94.0476, ,
426.7271,94.0476, ,
427.1665,95.2381, ,
427.6059,94.0476, ,
427.7942, ,97.601,
427.9198,95.2381, ,
428.8614, ,97.3079,
428.9241,94.0476, ,
429.4263,94.0476, ,
431.5606, ,96.9993,
434.8875, ,96.6755,
435.7663,92.8571, ,
437.3984, ,96.3367,
438.2145,94.0476, ,
438.4656, ,95.9634,
439.5327,92.8571, ,
442.1691, ,95.574,
442.7341, ,95.1688,
442.7969,91.6667, ,
443.299,92.8571, ,
