Time (min),CLK/CYC_ODE,CYC/CLK_ANIMO,
817.2345,21.423, ,
817.2973, ,0,
818.2389, ,1.1111,
818.5527, ,0,
819.0549, ,0,
821.0009,20.9887, ,
821.5658, ,1.1111,
821.8169, ,1.1111,
822.8213, ,0,
823.1979, ,0,
824.9555, ,1.1111,
825.3949, ,0,
827.9058,20.5568, ,
829.5379,20.1273, ,
830.5423,19.7002, ,
831.6094,19.2821, ,
831.9233, ,1.1111,
833.8692, ,0,
834.3086,18.8665, ,
834.6853, ,1.1111,
836.8195, ,0,
837.3217, ,0,
838.8282, ,1.1111,
840.6486, ,0,
841.5275, ,1.1111,
842.2807,18.4534, ,
843.85, ,0,
843.9128,18.0428, ,
844.1639, ,0,
845.7332, ,1.1111,
846.7376, ,0,
847.0514, ,1.1111,
847.4908, ,0,
848.7463, ,1.1111,
850.6295, ,0,
851.5083, ,1.1111,
851.8849, ,0,
852.3243, ,1.1111,
852.4499,17.6399, ,
853.5798, ,0,
854.0192,17.2396,1.1111,
854.4586, ,0,
855.5885,16.8419, ,
855.714, ,1.1111,
856.7812, ,1.1111,
857.2206, ,0,
857.7228,16.4468, ,
858.476, ,1.1111,
858.9154, ,0,
859.2921, ,1.1111,
860.5475, ,0,
861.0497, ,1.1111,
862.1168, ,0,
862.4935, ,1.1111,
863.5606, ,0,
863.6234,16.0586, ,
864, ,0,
865.5693, ,0,
865.9459, ,1.1111,
866.3226, ,0,
866.762, ,1.1111,
867.0759, ,0,
867.3269,15.673, ,
868.2058, ,1.1111,
868.3941,15.29, ,
868.6452, ,0,
869.524, ,1.1111,
870.5283,14.9098, ,
870.5911, ,0,
870.905, ,0,
873.1648, ,0,
873.5414, ,1.1111,
873.918, ,0,
874.2319,14.5357, ,
875.3618, ,1.1111,
875.7384, ,0,
876.6173, ,2.2222,
877.0567, ,1.1111,
877.9983,14.1643, ,
878.8143, ,0,
879.3165, ,0,
879.7559, ,1.1111,
880.1325, ,0,
880.5719, ,1.1111,
881.0113, ,0,
882.769,13.7957, ,
883.4595, ,2.2222,
883.9616, ,1.1111,
884.9032,13.4298, ,
885.8448, ,0,
886.2214, ,1.1111,
886.6609, ,2.2222,
887.1003, ,1.1111,
887.5397, ,2.2222,
887.9163, ,1.1111,
888.6696,13.0696, ,
888.7323, ,0,
889.109, ,1.1111,
889.5484, ,0,
889.9878, ,1.1111,
890.3644, ,2.2222,
890.7411, ,1.1111,
891.871,12.7122, ,
892.6242, ,0,
893.4403,12.3577, ,
893.5031, ,2.2222,
893.8169, ,1.1111,
895.6373, ,0,
896.0767,12.006,0,
898.211,11.6596, ,
899.2781,11.3161, ,
900.5336, ,2.2222,
900.973, ,1.1111,
901.4124, ,0,
901.7262, ,1.1111,
902.2284, ,0,
903.0445,10.9756, ,
903.9233,10.6382, ,
907.5641, ,1.1111,
909.3845, ,0,
910.3261, ,1.1111,
911.0166,10.3056, ,
912.5859, ,0,
914.218,9.9761, ,
914.469, ,2.2222,
914.8457, ,1.1111,
916.6033, ,0,
916.7289,9.6498, ,
917.0427, ,0,
917.4194,9.3266, ,
917.4821, ,1.1111,
917.9215, ,0,
918.3609, ,1.1111,
918.4865,9.0082, ,
918.8003, ,0,
920.0558,8.693, ,
920.1813, ,0,
920.6207,8.3811, ,
921.1857, ,1.1111,
921.6879,8.0726, ,
922.1273, ,0,
922.5667, ,1.1111,
923.5711, ,0,
923.8221,7.7688, ,
924.0105, ,0,
924.3243, ,1.1111,
924.7637, ,0,
