Time (min),CWO_ANIMO,CWO_ODE,
964.6544, ,53.0609,
966.8141, ,52.4571,
968.5219, ,51.8551,
969.7775, ,51.5987,
972.3391, ,51.3427,
973.1929, ,51.087,
976.2065, ,50.8316,
977.9142, ,50.5766,
980.8776, ,50.322,
982.9871, ,50.0677,
986.0007, ,49.8138,
989.818, ,49.3445,
989.818, ,48.8765,
992.8315, ,48.4098,
994.0872, ,47.9445,
997.0506, ,47.4641,
1001.7719, ,46.9852,
1002.6257, ,46.5079,
1003.4796, ,46.0321,
1005.1873, ,45.5235,
1006.0412, ,45.0168,
1009.0045, ,44.512,
1012.0182, ,44.0092,
1012.8218, ,43.4723,
1014.5295, ,42.9378,
1017.5431, ,42.4055,
1018.397, ,41.8756,
1018.7988, ,41.3115,
1020.5064, ,40.75,
1022.2142, ,40.1914,
1023.068, ,39.6356,
1025.2277, ,39.0495,
1025.72,0, ,
1027.5885, ,38.4666,
1029.4468, ,37.887,
1033.3143, ,37.3107,
1036.2777, ,36.7139,
1038.4374, ,36.1208,
1040.999, ,35.5314,
1041.8528, ,34.9457,
1043.5605, ,34.3532,
1047.3778, ,33.7646,
1050.3412, ,33.18,
1051.6471, ,32.5994,
1053.2041, ,32.0239,
1057.5235, ,31.4524,
1058.8797, ,30.885,
1059.7335, ,30.3216,
1061.4413, ,29.7698,
1063.5508, ,29.222,
1065.7105, ,28.6783,
1066.9662, ,28.1386,
1069.9798, ,27.6122,
1071.6875, ,27.0897,
1072.5414, ,26.5712,
1074.6508, ,26.0568,
1077.2124, ,25.5546,
1078.5183, ,25.0564,
1079.774, ,24.5622,
1081.8835, ,24.0719,
1082.7374, ,23.5923,
1083.1895, ,23.1166,
1084.4451, ,22.6448,
1087.8605, ,22.177,
1090.0202, ,21.7182,
1090.8741, ,21.2633,
1092.1297, ,20.8123,
1092.5818, ,20.3652,
1094.6913, ,19.9256,
1100.2163, ,19.4899,
1101.0701, ,19.0581,
1103.2299, ,18.6302,
1104.0837, ,18.2084,
1104.9376, ,17.7905,
1107.4991, ,17.3765,
1110.0607, ,16.9665,
1113.0241, ,16.5612,
1115.9875, ,16.1599,
1116.8413, ,15.7626,
1117.6952, ,15.3693,
1119.0011, ,14.9794,
1121.5626, ,14.5935,
1124.1242, ,14.2117,
1126.2337, ,13.8341,
1127.9414, ,13.4584,
1129.6492, ,13.0869,
1136.8818, ,12.875,
1142.8587, ,12.4434,
1150.0914, ,12.0198,
1156.5204, ,11.6044,
1164.1549, ,11.165,
1165.8626, ,11.1377,
1168.8762, ,10.7878,
1170.5839, ,10.4425,
1172.6935, ,10.1019,
1175.255, ,10.0253,
1176.5609, ,9.9489,
1177.4148, ,9.8727,
1183.3415, ,9.7969,
1184.6474, ,9.7212,
1187.209, ,9.6458,
1192.1312, ,9.5706,
1193.5877, ,9.4957,
1199.9665, ,9.4074,
1201.6743, ,9.3194,
1202.1263, ,9.2318,
1203.3819, ,9.1446,
1206.3956, ,8.8272,
