Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
148.74,,,,100,,,,,,,,,,,,
148.98,,,,,,,,,,,94.7368421053,,,,,
149.18,,,,,,,,89.0625,,,,,,,74.4680851064,
149.776,,,,98.9795918367,,,,,,,,,,,,
150.2,,,,,,,44.7368421053,,,,,,,,,
150.616,,,,100,,,,,,,,,,,,
151.38,88.8888888889,,,,,,,,,,,,,,,
151.8,,,,98.9795918367,,,,90.625,,,,,,,,
152.22,,,,,,,42.1052631579,,,,,,,,,
152.64,,,,100,,,,,,,,,,,,
153.46,,,,,,,,,,,,47.8260869565,,,,
154.08,,,,98.9795918367,,,39.4736842105,,,,,,,,,
154.664,,,,100,,,,92.1875,,,,,,,76.5957446809,
155.656,,,,,,,,,,,92.1052631579,,,,,
155.848,,,,98.9795918367,,,36.8421052632,,,,,,,,,
156.8,,,,100,,,,,,,,,,,,
157.376,,,,,80,,34.2105263158,93.75,,,,,,,,94.8717948718
157.98,,,,98.9795918367,,,,,,,,,,96.2962962963,,
158.712,,,,100,,,,,,,,,,,,
159.38,,,,,,,31.5789473684,,,,,,,,,
159.92,,,,98.9795918367,,,,95.3125,,,,,,,78.7234042553,
160.822,,,,100,,,28.9473684211,,98,,89.4736842105,,,,,
161.92,,,,98.9795918367,,,,,,,,,,,,
162.546,,,,,,,,,,92.3076923077,,,,,,
162.8,,,,100,,,26.3157894737,96.875,,,,,,,,
164.3,,,,98.9795918367,,,23.6842105263,,,,,52.1739130435,,,,
165.056,,,,100,,,,,,,,,,,,
165.2,,,,,,,,,,,,,,,,92.3076923077
165.968,,,,98.9795918367,,,21.0526315789,98.4375,,,86.8421052632,,,,80.8510638298,
166.808,,,,100,73.3333333333,,,,,,,,,,,
167.196,,,,,,,18.4210526316,,,,,,,,,
168,,,,98.9795918367,,,,,,,,,,,,
168.9,,,,100,,,15.7894736842,100,96,,,,,,,
170.016,,,,,,,,,,,84.2105263158,,,,,
170.196,,,,98.9795918367,,,13.1578947368,,,,,,,,,
170.856,,,,,,,,,,,,,,92.5925925926,,
171.156,,,,100,,,,,,,,,,,,89.7435897436
172.04,,,,98.9795918367,,,10.5263157895,,,,,,,,82.9787234043,
173.2,,,,100,,,,,,,,,,,,
173.26,,,,,,,7.8947368421,,,,,,,,,
173.6,,,,,,,,,,,81.5789473684,,,,,
174.176,,,,98.9795918367,66.6666666667,,,,,,,,,,,
174.904,,,,100,,,5.2631578947,,94,,,,,,,
175.62,,,,,,,,,,,,56.5217391304,,,,
176.236,,,,,,,2.6315789474,,,,,,,,,
176.4,,,,98.9795918367,,,,,,,,,,,,87.1794871795
177.062,,,,100,,,,,,,,,,,,
177.36,,,,,,,,,,,78.9473684211,,,,,
177.44,,,,,,,0,,,,,,,,,
178.18,,,,98.9795918367,,,,,,,,,,,85.1063829787,
179.2,,,,100,,,,,,,,,,,,
180.136,,,,,,,,,92,,,,,88.8888888889,,
180.482,,,,98.9795918367,,,,,,,76.3157894737,,,,,
181.316,,,,100,,,,,,,,,,,,
181.44,,,,,60,,,,,,,,,,,84.6153846154
182.16,,,,98.9795918367,,,,,,,,,,,,
183,,,,100,,,,,,,,,,,,
184.184,,,,98.9795918367,,,,,,,73.6842105263,,,,,
185.276,,,,100,,,,,90,,,,,,87.2340425532,
186.208,,,,98.9795918367,,,,,,,,,,,,82.0512820513
187.168,,,,100,,,,,,,,,,,,
187.82,,,,,,,,,,,71.0526315789,60.8695652174,,,,
188.232,,,,98.9795918367,,,,,,,,,,,,
189.072,,,,100,53.3333333333,,,,,,,,,,,
189.72,,,,,,,,,,,,,,85.1851851852,,
190.5,,,,98.9795918367,,,,,88,,,,,,,
190.798,,,,,,,,,,100,,,,,,
191.316,83.3333333333,84.6153846154,,100,,,,,,,68.4210526316,,,,,79.4871794872
192.59,,,,98.9795918367,,,,,,,,,,,,
192.72,,,,,,,,,,,,,,,89.3617021277,
193.2,,,,100,,,,,,,,,,,,
