Time (min),CLK_ANIMO,CLK_ODE,
877.3101, ,99.7432,
879.4196, ,99.695,
880.08,12, ,
882.383, ,99.6424,
884.0907, ,99.5857,
886.6523, ,99.5249,
888.812, ,99.46,
892.6293, ,99.3853,
895.1908, ,99.3058,
896.8985, ,99.2216,
897.7524, ,99.1327,
899.4601, ,99.0386,
900.314, ,98.9397,
901.1678, ,98.8361,
901.232,8, ,
907.9986, ,98.7278,
912.2679, ,98.6124,
914.3774, ,98.4921,
916.4869, ,98.3669,
919.5005, ,98.237,
921.6101, ,98.097,
922.0621, ,97.9519,
925.0255, ,97.8016,
927.587, ,97.6462,
929.2948, ,97.4768,
931.0024, ,97.3018,
932.692,4, ,
933.564, ,97.1212,
937.8333, ,96.9351,
938.2351, ,96.73,
940.7967, ,96.5186,
944.2121, ,96.301,
945.518, ,96.0771,
947.1755, ,95.8292,
948.0293, ,95.5741,
948.8832, ,95.3121,
949.7371, ,95.0431,
950.5909, ,94.746,
952.7506, ,94.441,
954.8601, ,94.1282,
955.3122, ,93.8077,
957.8738, ,93.4589,
959.1294, ,93.1017,
959.8326, ,92.7359,
960.4353, ,92.3618,
962.143, ,91.9637,
964.6544, ,91.5567,
966.8141, ,91.1411,
968.5219, ,90.7169,
969.7775, ,90.5332,
972.3391, ,90.348,
973.1929, ,90.1613,
976.2065, ,89.9731,
977.9142, ,89.7834,
980.8776, ,89.5922,
982.9871, ,89.3995,
986.0007, ,89.2053,
989.818, ,88.8418,
989.818, ,88.4734,
992.8315, ,88.1001,
994.0872, ,87.7219,
996.08,0, ,
997.0506, ,87.3253,
1001.7719, ,86.9237,
1002.6257, ,86.5172,
1003.4796, ,86.1057,
1005.1873, ,85.6591,
1006.0412, ,85.207,
1009.0045, ,84.7496,
1012.0182, ,84.2869,
1012.8218, ,83.7853,
1014.5295, ,83.2779,
1017.5431, ,82.7649,
1018.397, ,82.2463,
1018.7988, ,81.6855,
1020.5064, ,81.1188,
1022.2142, ,80.5461,
1023.068, ,79.9676,
1025.2277, ,79.3482,
1027.5885, ,78.7228,
1029.4468, ,78.0913,
1033.3143, ,77.4541,
1036.2777, ,76.7843,
1038.4374, ,76.1087,
1040.999, ,75.4274,
1041.8528, ,74.7406,
1043.5605, ,74.0359,
1047.3778, ,73.326,
1050.3412, ,72.611,
1051.6471, ,71.8912,
1053.2041, ,71.1682,
1057.5235, ,70.4407,
1058.8797, ,69.7091,
1059.7335, ,68.9735,
1061.4413, ,68.2439,
1063.5508, ,67.511,
1065.7105, ,66.7747,
1066.9662, ,66.0353,
1069.9798, ,65.3058,
1071.6875, ,64.5736,
1072.5414, ,63.839,
1074.6508, ,63.1022,
1077.2124, ,62.3754,
1078.5183, ,61.6467,
1079.774, ,60.9165,
1081.8835, ,60.1847,
1082.7374, ,59.4617,
1083.1895, ,58.7377,
1084.4451, ,58.0127,
1087.8605, ,57.2869,
1090.0202, ,56.5684,
1090.8741, ,55.8495,
1092.1297, ,55.1302,
1092.5818, ,54.4108,
1094.6913, ,53.6971,
1100.2163, ,52.9835,
1101.0701, ,52.2702,
1103.2299, ,51.5572,
1104.0837, ,50.8483,
1104.9376, ,50.14,
1107.4991, ,49.4325,
1110.0607, ,48.726,
1113.0241, ,48.0216,
1115.9875, ,47.3185,
1116.8413, ,46.6166,
1117.6952, ,45.9162,
1119.0011, ,45.2159,
1121.5626, ,44.5174,
1124.1242, ,43.8206,
1126.2337, ,43.1258,
1127.9414, ,42.4287,
1129.6492, ,41.7338,
1140.1968, ,40.8441,
1144.1646, ,39.9546,
1151.3973, ,39.0691,
1159.4838, ,38.188,
1165.8626, ,37.9902,
1168.8762, ,37.2997,
1170.5839, ,36.6123,
1172.6935, ,35.9283,
1175.255, ,35.7735,
1176.5609, ,35.619,
1177.4148, ,35.4646,
1183.3415, ,35.3105,
1184.6474, ,35.1565,
1187.209, ,35.0027,
1192.1312, ,34.849,
1193.5877, ,34.6956,
1199.9665, ,34.5144,
1201.6743, ,34.3334,
1202.1263, ,34.1527,
1203.3819, ,33.9722,
1206.3956, ,33.3123,
1209.3589, ,32.656,
1212.3223, ,32.0037,
1217.0436, ,31.3554,
1217.4454, ,30.7212,
1218.7513, ,30.0911,
1220.007, ,29.4652,
1222.5686, ,28.8436,
1226.8379, ,28.2227,
1228.5455, ,27.6063,
1229.8012, ,26.9945,
1232.3628, ,26.3874,
1236.6321, ,25.7777,
1237.285, ,25.173,
1238.3398, ,24.5734,
1240.4995, ,23.979,
1243.0611, ,23.3784,
1248.9878, ,22.7834,
1250.2937, ,22.1941,
1250.6955, ,21.6105,
1256.6725, ,21.0171,
1258.3802, ,20.4299,
1262.1975, ,19.8492,
1262.6495, ,19.275,
1265.6129, ,18.7131,
1267.7726, ,18.1579,
1269.0283, ,17.6093,
1270.3342, ,17.0675,
1271.188, ,16.5716,
1274.1514, ,16.0817,
1275.4573, ,15.5977,
1278.4207, ,15.1199,
1281.384, ,14.6733,
1283.5438, ,14.2322,
1286.4067, ,13.7967,
1289.0687, ,13.367,
1292.0824, ,12.96,
1293.64,4, ,
1295.0457, ,12.5583,
1295.8996, ,12.162,
1298.0091, ,11.7712,
1300.5706, ,11.3982,
1301.8766, ,11.0305,
1303.5843, ,10.668,
1304.4381, ,10.3108,
1306.5476, ,9.9684,
1306.9997, ,9.631,
1309.5613, ,9.2988,
1310.4151, ,8.9717,
1312.0726, ,8.6572,
1312.9264, ,8.3477,
1314.6341, ,8.0433,
1317.1957, ,7.7439,
1318.0495, ,7.4555,
1323.1727, ,7.1721,
1325.3324, ,6.8936,
1327.894, ,6.6202,
1331.7112, ,6.3565,
1333.8208, ,6.0977,
1334.2728, ,5.8439,
1334.6746, ,5.595,
1335.5284, ,5.3549,
1337.2362, ,5.1197,
1337.6882, ,4.8894,
1341.1036, ,4.664,
1342.06,8, ,
1342.8113, ,4.4466,
1351.7517, ,4.2341,
1354.715, ,4.0265,
1356.4228, ,3.8237,
1358.1304, ,3.6284,
1359.4364, ,3.4379,
1360.692, ,3.2522,
1361.9477, ,3.0715,
1364.1075, ,2.8976,
1368.3767, ,2.7285,
1370.0844, ,2.5643,
1372.646, ,2.4049,
1373.0478, ,2.252,
1376.0614, ,2.1038,
1378.5727, ,1.9605,
1379.3261, ,1.8221,
1380.448,12, ,
1381.5864, ,1.6897,
1384.5498, ,1.5621,
1387.5633, ,1.4394,
1389.6728, ,1.3216,
1390.5267, ,1.2094,
1392.2344, ,1.102,
1393.2892, ,0.9995,
1396.0516, ,0.9019,
1397.3575, ,0.8097,
1399.9191, ,0.7223,
1402.0287, ,0.6398,
1405.8961, ,0.5622,
1406.75, ,0.4898,
1407.1518, ,0.4222,
1409.3115, ,0.3596,
1411.0192, ,0.302,
1413.9826, ,0.2493,
1417.06,16, ,
1421.6673, ,0.2015,
1423.7768, ,0.1588,
1426.3383, ,0.1212,
1427.6442, ,0.0884,
1428.0461, ,0.0607,
1429.7538, ,0.0382,
1432.3154, ,0.0208,
1434.8769, ,0.0085,
1437.4384, ,0.0016,
1440,16,0,
