Time (min),cwo_ANIMO,cwo_ODE,
1066.9662, ,0.0113,
1069.9798, ,0.0231,
1071.6875, ,0.039,
1072.5414, ,0.0591,
1074.6508, ,0.0833,
1077.2124, ,0.1112,
1078.5183, ,0.1432,
1079.774, ,0.1792,
1081.8835, ,0.2192,
1082.7374, ,0.2628,
1083.1895, ,0.3103,
1084.4451, ,0.3618,
1087.8605, ,0.4174,
1090.0202, ,0.4764,
1090.8741, ,0.5393,
1092.1297, ,0.6063,
1092.5818, ,0.6774,
1094.6913, ,0.752,
1100.2163, ,0.8306,
1101.0701, ,0.9133,
1103.2299, ,1.0002,
1104.0837, ,1.0907,
1104.9376, ,1.1855,
1107.4991, ,1.2845,
1110.0607, ,1.3877,
1113.0241, ,1.4951,
1115.9875, ,1.6068,
1116.8413, ,1.7228,
1117.6952, ,1.8434,
1119.0011, ,1.9686,
1121.5626, ,2.0984,
1124.1242, ,2.2329,
1126.2337, ,2.372,
1127.9414, ,2.5168,
1129.6492, ,2.6664,
1132.6125, ,2.6835,
1138.1877, ,2.7476,
1141.1511, ,2.8125,
1144.1646, ,2.8784,
1150.0914, ,2.9451,
1152.653, ,3.0127,
1159.4838, ,3.0813,
1164.1549, ,3.2455,
1165.0088, ,3.4148,
1165.8626, ,3.5704,
1168.8762, ,3.7565,
1170.5839, ,3.9482,
1172.6935, ,4.1455,
1175.255, ,4.1911,
1176.5609, ,4.237,
1177.4148, ,4.2831,
1183.3415, ,4.3296,
1184.6474, ,4.3764,
1187.209, ,4.4234,
1192.1312, ,4.4708,
1193.5877, ,4.5185,
1199.9665, ,4.5753,
1201.6743, ,4.6325,
1202.1263, ,4.6901,
1203.3819, ,4.7482,
1206.3956, ,4.965,
1209.3589, ,5.1878,
1212.3223, ,5.4166,
1217.0436, ,5.6515,
1217.4454, ,5.8887,
1218.7513, ,6.132,
1220.007, ,6.3815,
1222.5686, ,6.6372,
1226.8379, ,6.9009,
1228.5455, ,7.171,
1229.8012, ,7.4478,
1232.3628, ,7.7314,
1236.6321, ,8.0253,
1237.285, ,8.3264,
1238.3398, ,8.6347,
1240.4995, ,8.9503,
1243.0611, ,9.2796,
1248.9878, ,9.6169,
1250.2937, ,9.9621,
1250.6955, ,10.3153,
1256.6725, ,10.6868,
1258.3802, ,11.0671,
1262.1975, ,11.4563,
1262.6495, ,11.8545,
1265.6129, ,12.2576,
1267.7726, ,12.6699,
1269.0283, ,13.0914,
1270.3342, ,13.5223,
1271.188, ,13.9299,
1274.1514, ,14.3458,
1275.4573, ,14.7701,
1278.4207, ,15.2028,
1281.384, ,15.6203,
1283.5438, ,16.0456,
1286.4067, ,16.4787,
1289.0687, ,16.9197,
1292.0824, ,17.3505,
1295.0457, ,17.7887,
1295.8996, ,18.2345,
1298.0091, ,18.6878,
1300.5706, ,19.1338,
1301.8766, ,19.5869,
1303.5843, ,20.0474,
1304.4381, ,20.5151,
1306.5476, ,20.9774,
1306.9997, ,21.4468,
1309.5613, ,21.9232,
1310.4151, ,22.4067,
1312.0726, ,22.8861,
1312.9264, ,23.3724,
1314.6341, ,23.8656,
1317.1957, ,24.3658,
1318.0495, ,24.8628,
1323.1727, ,25.3666,
1325.3324, ,25.8772,
1327.894, ,26.3945,
1331.7112, ,26.9095,
1332.58,6.6667, ,
1333.8208, ,27.431,
1334.2728, ,27.9592,
1334.6746, ,28.4941,
1335.5284, ,29.0271,
1337.2362, ,29.5666,
1337.6882, ,30.1125,
1341.1036, ,30.6649,
1342.8113, ,31.216,
1351.7517, ,31.7734,
1354.715, ,32.3371,
1355.58,13.3333, ,
1356.4228, ,32.9071,
1358.1304, ,33.4761,
1359.4364, ,34.0512,
1360.692, ,34.6325,
1361.9477, ,35.2198,
1364.1075, ,35.8066,
1368.3767, ,36.3993,
1370.0844, ,36.9978,
1372.646, ,37.6022,
1373.0478, ,38.2064,
1376.0614, ,38.8162,
1378.5727, ,39.4317,
1379.18,20, ,
1379.3261, ,40.0528,
1381.5864, ,40.6741,
1384.5498, ,41.3008,
1387.5633, ,41.9329,
1389.6728, ,42.5703,
1390.5267, ,43.2084,
1392.2344, ,43.8517,
1393.2892, ,44.5,
1396.0516, ,45.1533,
1397.3575, ,45.8081,
1398.58,26.6667, ,
1399.9191, ,46.4677,
1402.0287, ,47.1321,
1405.8961, ,47.801,
1406.75, ,48.4727,
1407.1518, ,49.1489,
1409.3115, ,49.8293,
1411.0192, ,50.5139,
1413.9826, ,51.2033,
1417.06,33.3333, ,
1421.6673, ,51.8967,
1423.7768, ,52.594,
1426.3383, ,53.2949,
1427.6442, ,54.004,
1428.0461, ,54.7165,
1429.7538, ,55.4323,
1432.3154, ,56.1513,
1433.38,40, ,
1434.8769, ,56.8839,
1437.4384, ,57.6195,
1440,40,58.3577,
