Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
184.184,,,,,,,,,82.6923076923,,,,,,,
184.516,,,,100,43.75,,,,,,,60.8695652174,,,,
185.368,,,,98.9795918367,,,,,,,,,,,,
186.38,,,,100,,,,,,,,,,,,
186.716,,,,,,,,,,,60,,,,,
187.406,,,,98.9795918367,,,,,,,,,,,,71.4285714286
188.232,,,,100,,,,,,,,,,,,
188.76,,,,,,,,,,,,,,,92.5,
189.42,,,,98.9795918367,,,,,80.7692307692,,,,,,,
190.256,,,,,,,,,,,57.5,,,,,
190.582,,,,100,,,,,,,,,,,,
190.772,,,99,,,,,,,,,,,78.5714285714,,
191.44,,,,98.9795918367,,,,,,,,,,,,
192.294,,,,100,,,,,,,,,,,,
192.896,,,,,37.5,,,,,,,,,,,
193.478,,,,98.9795918367,,,,,,,,,,,,68.5714285714
193.92,,,,,,,,,,,55,,,,,
194.5,,,,100,,,,,,,,,,,,
194.828,,,,,,,,,78.8461538462,,,,,,,
195.02,,,,,,,,,,,,65.2173913043,,,,
195.516,,,,98.9795918367,,,,,,,,,,,,
196.37,,,,100,,,,,,,,,,,,
196.752,,,98,,,,,,,,,,,,,
197.78,,,,98.9795918367,,,,,,,52.5,,,,,
198.422,,,,100,,,,,,,,,,,,
199.606,,,,,,,,,,,,,,,,65.7142857143
199.82,,,,98.9795918367,,,,,76.9230769231,,,,,,,
200.474,,,,100,,,,,,,,,,75,,
201.08,,,,,,,,,,,,,,,95,
201.796,,,97,98.9795918367,31.25,,,,,,50,,,,,
202.542,,,,100,,,,,,,,,,,,
203.06,,,,,,84.6153846154,,,,,,,,,,
203.726,,,,98.9795918367,,,,,,,,,,,,
204.61,,,,100,,,,,,,,,,,,
205.686,,,96,,,,,,,,,,,,,
205.794,,,,,,,,,75,,,,,,,
205.96,,,,98.9795918367,,,,,,,,,,,,62.8571428571
206.24,,,,,,,,,,,47.5,69.5652173913,,,,
206.996,,,,100,,,,,,,,,,,,
207.878,,,,98.9795918367,,,,,,,,,,,,
208.796,,,95,100,,,,,,,,,,,,
210.26,,,,98.9795918367,,,,,,,45,,,,,
211.22,,,,100,,,,,73.0769230769,,,,,71.4285714286,,
212.082,,,94,,25,,,,,,,,,,,
212.404,,,,98.9795918367,,,,,,,,,,,,60
213.016,,,,100,,,,,,,,,,,,
214.2,,,,98.9795918367,,,,,,,,,,,,
214.64,,,93,,,,,,,,42.5,,,,,
215.154,,,,100,,,,,,,,,,,,
216.5,,,,98.9795918367,,,,,,,,,,,97.5,
217.292,,,,,,,,,71.1538461538,,,,,,,
217.392,,,92,100,,,,,,,,,,,,
218.476,,,,98.9795918367,,,,,,,,73.9130434783,,,,
219.12,,,,,,,,,,,,,,,,57.1428571429
219.448,,,,100,,,,,,,40,,,,,
220.192,,,91,,,,,,,,,,,,,
220.632,,,,98.9795918367,,,,,,,,,,,,
221.822,,,,100,,,,,,,,,,67.8571428571,,
222.992,,,,,18.75,76.9230769231,,,,,,,,,,
223.16,,,90,98.9795918367,,,,,69.2307692308,,,,,,,
223.98,,,,100,,,,,,,37.5,,,,,
225.004,,,,98.9795918367,,,,,,,,,,,,
226.126,,,89,100,,,,,,,,,,,,54.2857142857
227.222,,,,98.9795918367,,,,,,,,,,,,
228.592,,,,100,,,,,,,,,,,,
228.94,,,88,,,,,,,,35,,,,,
229.44,,,,98.9795918367,,,,,67.3076923077,,,,,,,
230.494,,,,100,,,,,,,,,,,,
231,,,,,,,,,,,,78.2608695652,,,,
231.678,,,87,98.9795918367,,,,,,,,,,,,
232.756,,,,100,,,,,,,,,,,,
233.526,,,,,,,,,,,,,,64.2857142857,,51.4285714286
234.192,,,86,98.9795918367,,,,,,,32.5,,,,,
235.236,,,,100,12.5,,,,,,,,,,,
235.68,,,,,,,,,65.3846153846,,,,,,,
236.226,,,,98.9795918367,,,,,,,,,,,,
236.992,,,85,,,,,,,,,,,,,
237.354,,,,100,,,,,,,,,,,,
238.538,,,,98.9795918367,,,,,,,,,,,,
239.2,,,,,,,,,,,30,,,,,
239.792,,,84,100,,,,,,,,,,,,
240.85,,,,,,,,,,,,,,,100,
241.126,,,,98.9795918367,,,,,,,,,,,,48.5714285714
241.616,,,,,,69.2307692308,,,,,,,,,,
242.004,,,,100,,,,,,,,,,,,
242.592,,,83,,,,,,63.4615384615,,,,,,,
243.188,,,,98.9795918367,,,,,,,,,,,,
244.37,,,,100,,,,,,,,,,,,
244.92,,,,,,,,,,,27.5,82.6086956522,,,,
245.554,,,82,98.9795918367,,,,,,,,,,,,
246.082,,,,,,,,,,,,,,60.7142857143,,
246.764,,,,100,,,,,,,,,,,,
248.192,,,81,98.9795918367,,,,,,,,,,,,
249.366,,,,100,,,,,61.5384615385,,,,,,,45.7142857143
250.216,,0,,,,,,,,,,,,,,
250.374,,,,98.9795918367,6.25,,,,,,,,,,,
250.992,,,80,,,,,,,,25,,,,,
251.646,,,,100,,,,,,,,,,,,
252.83,,,,98.9795918367,,,,,,,,,,,,
254.138,,,79,100,,,,,,,,,,,,
255.322,,,,98.9795918367,,,,,,,,,,,,
256.592,,,,,,,,,59.6153846154,,,,,,,
256.78,,,78,100,,,,,,,22.5,,,,,
257.866,,,,98.9795918367,,,,,,,,,,,,42.8571428571
259.19,,,,,,,,,,,,,,57.1428571429,,
259.392,,,,100,,,,,,,,,,,,
259.7,,,77,,,,,,,,,86.9565217391,,,,
260.374,,,,98.9795918367,,61.5384615385,,,,,,,,,,
261.754,,,,100,,,,,,,,,,,,
262.192,,,76,,,,,,,,,,,,,
262.938,,,,98.9795918367,,,,,,,,,,,,
263.8,,,,,,,,,57.6923076923,,20,,,,,
264.358,,,,100,,,,,,,,,,,,
264.992,,,75,,,,,,,,,,,,,
265.542,,,,98.9795918367,,,,,,,,,,,,
267.186,,,,100,,,,,,,,,,,,40
267.792,,,74,,,,,,,,,,,,,
268.188,,,,98.9795918367,,,,,,,,,,,,
268.736,,,,,0,,,,,,,,,,,
269.694,,,,100,,,,,,,,,,,,
270.592,,,,,,,,,,,17.5,,,,,
270.878,,,73,98.9795918367,,,,,,,,,,,,
271.4,,,,,,,,,55.7692307692,,,,,,,
272.432,,,,100,,,,,,,,,,,,
273.392,,,,,,,,,,,,,,53.5714285714,,
273.616,,,72,98.9795918367,,,,,,,,,,,,
275.22,,,,100,,,,,,,,,,,,
276.192,,,,,,,,,,,,91.3043478261,,,,
276.404,,,71,98.9795918367,,,,,,,,,,,,
276.826,,,,,,,,,,,,,,,,37.1428571429
277.58,,,,,,,,,,92.3076923077,15,,,,,
278.116,,,,100,,53.8461538462,,,,,,,,,,
279.246,,,70,98.9795918367,,,,,,,,,,,,
279.76,,,,,,,,,53.8461538462,,,,,,,
280.962,,,,100,,,,,,,,,,,,
282.146,,,69,98.9795918367,,,,,,,,,,,,
283.924,,,,100,,,,,,,,,,,,
284.592,,,68,,,,,,,,,,,,,
