Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
144.888, , , ,99, , , , , , , , , , , , ,
145.762, , , ,100, , ,11, , , , , , , , , ,
147.22, , , ,99, , , , , , , , , , , , ,
147.508, , , , , , ,10, ,57, , , , , , , ,
147.752, , , ,100, , , , , , , , , , , , ,
148.34, , , , , , , , , , ,35, , , , , ,
148.62, , , , , , , , , , , , , , ,42, ,
148.936, , , ,99,12, ,9, , , , , , , , ,32,
149.776, , , ,100, , , , , , , , , , , , ,
150.54, , , , , , ,8, , ,16, , , , , , ,
150.96, , , ,99, , , , , , , , , , , , ,
151.934, , , ,100, , , , , , , , , , , , ,
152.2, , , , , , ,7, , , ,34, , , , , ,
153.322, , , ,99, , ,6, , , , ,30, ,29, , ,
154, , , ,100, , , , , , , , , , , , ,
154.268, , , , , , , , ,56, , , , , , , ,
155.008, , , , , , ,5, , , , , , , , , ,
155.086, , , ,99, , , , , , , , , , ,43,31,
156.016, , , ,100,11, ,4, , , ,33, , , , , ,
157.378, , , ,99, , ,3, , , , , , , , , ,
157.872, , , ,100, , , , , , , , , , , , ,
159.056, , , , , , ,2, , , , , , , , , ,
159.32, , , ,99, , , , , , , , , , , , ,
159.676, , , , , , , , ,55, ,32, , , , , ,
160.106, , , ,100, , , , , , , , , , , , ,
160.346, , , , , , ,1, , , , , , , , ,30,
161.08, , , ,99, , , , , , , , , , , , ,
161.472, , , , , , ,0, , , , , , , , , ,
162.222, , , ,100, , , , , , , , , , ,44, ,
162.556, , , , ,10, , , , , ,31, , ,28, , ,
163.104, , , ,99, , , , , , , , , , , , ,
163.732, , , , , , , , , , , ,31, , , , ,
164.14, , , ,100, , , , ,54, , , , , , , ,
165.466, , , ,99, , , , , , , , , , , , ,
165.72, , , , , , , , , , , , , , , ,29,
165.968, , , ,100, , , , , , ,30, , , , , ,
167.152, , , ,99, , , , , , , , , , , , ,
167.992, , , ,100, , , , , , , , , , , , ,
169.176, , , , , , , , ,53, ,29, , , , , ,
169.396, , , ,99, , , , , , , , , , , , ,
169.68, , , , ,9, , , , , , , , , , , ,
170.016, , , ,100, , , , , , , , , , ,45, ,
170.686, , , , , , , , , , , , , , , ,28,
171.222, , , ,99, , , , , , , , , ,27, , ,
172.3, , , ,100, , , , , , ,28, , , , , ,
173.224, , , ,99, , , , , , , , , , , , ,
174.064, , , ,100, , , , ,52, , , , , , , ,
174.548, , , , , , , , , , , ,32, , , , ,
175.248, , , ,99, , , , , , , , , , , , ,
176.006, , , , , , , , , , ,27, , , , , ,
176.088, , , ,100, , , , , , , , , , , ,27,
176.596, , , , ,8, , , , , , , , , , , ,
177.272, , , ,99, , , , , , , , , , , , ,
178.112, , , ,100, , , , , , , , , , , , ,
178.76, , , , , , , , , , , , , , ,46, ,
179.06, , , , , , , , ,51, , , , , , , ,
179.296, , , ,99, ,12, , , , ,26, , , , , ,
180.136, , , ,100, , , , , , , , , , , , ,
180.842, , , , , , , , , , , , , ,26, , ,
181.646, , , ,99, , , , , , , , , , , , ,
181.74, , , , , , , , , ,17, , , , , ,26,
182.16, , , ,100, , , , , , , , , , , , ,
182.7, , , , , , , , , , ,25, , , , , ,
183.344, , , ,99, , , , , , , , , , , , ,
184.184, , , , , , , , ,50, , , , , , , ,
184.516, , , ,100,7, , , , , , ,33, , , , ,
185.368, , , ,99, , , , , , , , , , , , ,
186.38, , , ,100, , , , , , , , , , , , ,
186.716, , , , , , , , , , ,24, , , , , ,
187.406, , , ,99, , , , , , , , , , , ,25,
188.232, , , ,100, , , , , , , , , , , , ,
188.76, , , , , , , , , , , , , , ,47, ,
189.42, , , ,99, , , , ,49, , , , , , , ,
190.256, , , , , , , , , , ,23, , , , , ,
190.582, , , ,100, , , , , , , , , , , , ,
190.772, , ,99, , , , , , , , , , ,25, , ,
191.44, , , ,99, , , , , , , , , , , , ,
192.294, , , ,100, , , , , , , , , , , , ,
192.896, , , , ,6, , , , , , , , , , , ,
193.478, , , ,99, , , , , , , , , , , ,24,
193.92, , , , , , , , , , ,22, , , , , ,
194.5, , , ,100, , , , , , , , , , , , ,
194.828, , , , , , , , ,48, , , , , , , ,
195.02, , , , , , , , , , , ,34, , , , ,
195.516, , , ,99, , , , , , , , , , , , ,
196.37, , , ,100, , , , , , , , , , , , ,
196.752, , ,98, , , , , , , , , , , , , ,
197.78, , , ,99, , , , , , ,21, , , , , ,
198.422, , , ,100, , , , , , , , , , , , ,
199.606, , , , , , , , , , , , , , , ,23,
199.82, , , ,99, , , , ,47, , , , , , , ,
200.474, , , ,100, , , , , , , , , ,24, , ,
201.08, , , , , , , , , , , , , , ,48, ,
201.796, , ,97,99,5, , , , , ,20, , , , , ,
202.542, , , ,100, , , , , , , , , , , , ,
203.06, , , , , ,11, , , , , , , , , , ,
203.726, , , ,99, , , , , , , , , , , , ,
204.61, , , ,100, , , , , , , , , , , , ,
205.686, , ,96, , , , , , , , , , , , , ,
205.794, , , , , , , , ,46, , , , , , , ,
205.96, , , ,99, , , , , , , , , , , ,22,
206.24, , , , , , , , , , ,19,35, , , , ,
206.996, , , ,100, , , , , , , , , , , , ,
207.878, , , ,99, , , , , , , , , , , , ,
208.796, , ,95,100, , , , , , , , , , , , ,
210.26, , , ,99, , , , , , ,18, , , , , ,
211.22, , , ,100, , , , ,45, , , , ,23, , ,
212.082, , ,94, ,4, , , , , , , , , , , ,
212.404, , , ,99, , , , , , , , , , , ,21,
213.016, , , ,100, , , , , , , , , , , , ,
214.2, , , ,99, , , , , , , , , , , , ,
214.64, , ,93, , , , , , , ,17, , , , , ,
215.154, , , ,100, , , , , , , , , , , , ,
216.5, , , ,99, , , , , , , , , , ,49, ,
217.292, , , , , , , , ,44, , , , , , , ,
217.392, , ,92,100, , , , , , , , , , , , ,
218.476, , , ,99, , , , , , , ,36, , , , ,
219.12, , , , , , , , , , , , , , , ,20,
219.448, , , ,100, , , , , , ,16, , , , , ,
220.192, , ,91, , , , , , , , , , , , , ,
220.632, , , ,99, , , , , , , , , , , , ,
221.822, , , ,100, , , , , , , , , ,22, , ,
222.992, , , , ,3,10, , , , , , , , , , ,
223.16, , ,90,99, , , , ,43, , , , , , , ,
223.98, , , ,100, , , , , , ,15, , , , , ,
225.004, , , ,99, , , , , , , , , , , , ,
226.126, , ,89,100, , , , , , , , , , , ,19,
227.222, , , ,99, , , , , , , , , , , , ,
228.592, , , ,100, , , , , , , , , , , , ,
228.94, , ,88, , , , , , , ,14, , , , , ,
229.44, , , ,99, , , , ,42, , , , , , , ,
230.494, , , ,100, , , , , , , , , , , , ,
231, , , , , , , , , , , ,37, , , , ,
231.678, , ,87,99, , , , , , , , , , , , ,
232.756, , , ,100, , , , , , , , , , , , ,
233.526, , , , , , , , , , , , , ,21, ,18,
234.192, , ,86,99, , , , , , ,13, , , , , ,
235.236, , , ,100,2, , , , , , , , , , , ,
235.68, , , , , , , , ,41, , , , , , , ,
236.226, , , ,99, , , , , , , , , , , , ,
236.992, , ,85, , , , , , , , , , , , , ,
237.354, , , ,100, , , , , , , , , , , , ,
238.538, , , ,99, , , , , , , , , , , , ,
239.2, , , , , , , , , , ,12, , , , , ,
239.792, , ,84,100, , , , , , , , , , , , ,
240.85, , , , , , , , , , , , , , ,50, ,
241.126, , , ,99, , , , , , , , , , , ,17,
241.616, , , , , ,9, , , , , , , , , , ,
242.004, , , ,100, , , , , , , , , , , , ,
242.592, , ,83, , , , , ,40, , , , , , , ,
243.188, , , ,99, , , , , , , , , , , , ,
244.37, , , ,100, , , , , , , , , , , , ,
244.92, , , , , , , , , , ,11,38, , , , ,
245.554, , ,82,99, , , , , , , , , , , , ,
246.082, , , , , , , , , , , , , ,20, , ,
246.764, , , ,100, , , , , , , , , , , , ,
248.192, , ,81,99, , , , , , , , , , , , ,
249.366, , , ,100, , , , ,39, , , , , , ,16,
250.216, ,68, , , , , , , , , , , , , , ,
250.374, , , ,99,1, , , , , , , , , , , ,
250.992, , ,80, , , , , , , ,10, , , , , ,
251.646, , , ,100, , , , , , , , , , , , ,
252.83, , , ,99, , , , , , , , , , , , ,
254.138, , ,79,100, , , , , , , , , , , , ,
255.322, , , ,99, , , , , , , , , , , , ,
256.592, , , , , , , , ,38, , , , , , , ,
256.78, , ,78,100, , , , , , ,9, , , , , ,
257.866, , , ,99, , , , , , , , , , , ,15,
259.19, , , , , , , , , , , , , ,19, , ,
259.392, , , ,100, , , , , , , , , , , , ,
259.7, , ,77, , , , , , , , ,39, , , , ,
260.374, , , ,99, ,8, , , , , , , , , , ,
261.754, , , ,100, , , , , , , , , , , , ,
262.192, , ,76, , , , , , , , , , , , , ,
262.938, , , ,99, , , , , , , , , , , , ,
263.8, , , , , , , , ,37, ,8, , , , , ,
264.358, , , ,100, , , , , , , , , , , , ,
264.992, , ,75, , , , , , , , , , , , , ,
265.542, , , ,99, , , , , , , , , , , , ,
267.186, , , ,100, , , , , , , , , , , ,14,
267.792, , ,74, , , , , , , , , , , , , ,
268.188, , , ,99, , , , , , , , , , , , ,
268.736, , , , ,0, , , , , , , , , , , ,
269.694, , , ,100, , , , , , , , , , , , ,
270.592, , , , , , , , , , ,7, , , , , ,
270.878, , ,73,99, , , , , , , , , , , , ,
271.4, , , , , , , , ,36, , , , , , , ,
272.432, , , ,100, , , , , , , , , , , , ,
273.392, , , , , , , , , , , , , ,18, , ,
273.616, , ,72,99, , , , , , , , , , , , ,
275.22, , , ,100, , , , , , , , , , , , ,
276.192, , , , , , , , , , , ,40, , , , ,
276.404, , ,71,99, , , , , , , , , , , , ,
276.826, , , , , , , , , , , , , , , ,13,
277.58, , , , , , , , , ,16,6, , , , , ,
278.116, , , ,100, ,7, , , , , , , , , , ,
279.246, , ,70,99, , , , , , , , , , , , ,
279.76, , , , , , , , ,35, , , , , , , ,
280.962, , , ,100, , , , , , , , , , , , ,
282.146, , ,69,99, , , , , , , , , , , , ,
283.924, , , ,100, , , , , , , , , , , , ,
284.592, , ,68, , , , , , , , , , , , , ,
285.108, , , ,99, , , , , , , , , , , , ,
285.76, , , , , , , , , , ,5, , , , , ,
286.952, , , ,100, , , , , , , , , , , , ,
287.526, , ,67, , , , , , , , , , , , ,12,
288.22, , , ,99, , , , ,34, , , , , , , ,
288.782, , , , , , , , , , , , , ,17, , ,
290.192, , ,66,100, , , , , , , , , , , , ,
291.236, , , ,99, , , , , , , , , , , , ,
293.296, , ,65,100, , , , , , , , , , , , ,
294.48, , , ,99, , , , , , ,4, , , , , ,
295.792, , ,64, , , , , , , , , , , , , ,
296.76, , , ,100, , , , ,33, , , , , , , ,
297.824, , , ,99, , , , , , , , , , , , ,
298.592, , ,63, , ,6, , , , , , , , , , ,
299.546, , , , , , , , , , , , , , , ,11,
300.18, , , ,100, , , , , , , ,41, , , , ,
301.392, , ,62,99, , , , , , , , , , , , ,
303.628, , , ,100, , , , , , , , , , , , ,
304.26, , ,61, , , , , , , ,3, , , , , ,
304.812, , , ,99, , , , , , , , , , , , ,
306.382, , , , , , , , ,32, , , , ,16, , ,
306.992, , ,60, , , , , , , , , , , , , ,
307.7,99, , ,100, , , , , , , , , , , , ,
308.616, , , ,99, , , , , , , , , , , , ,
309.792, , ,59, , , , , , , , , , , , , ,
311.396, , , ,100, , , , , , , , , , , , ,
312.106, , , , , , , , , , , , , , ,49,10,
312.592, , ,58,99, , , , , , , , , , , , ,
314.72, , , , , , , , , , ,2, , , , , ,
315.7, , ,57, , , , , , , , , , , , , ,
315.88, , , ,100, , , , ,31, , , , , , , ,
316.884, , , ,99, , , , , , , , , , , , ,
318.192, , ,56, , , , , , , , , , , , , ,
320.224, , , ,100, , , , , , , , , , , , ,
320.992, , ,55, , , , , , , , , , , , , ,
321.408, , , ,99, , , , , , , , , , , , ,
322.516, , , , , ,5, , , , , , , , , , ,
323.792, , ,54, , , , , , , , , , , , , ,
325.268, , , ,100, , , , , , , , , , , , ,
326.592, , , , , , , , , , , , , ,15, , ,
326.76, , ,53,99, , , , ,30, , , , , , ,9,
327.6, , , , , , , , , ,15,1, , , , , ,
329.392, , ,52, , , , , , , , , , , , , ,
331.032, , , ,100, , , , , , , , , , , , ,
332.216, , ,51,99, , , , , , , , , , , , ,
334.992, , ,50, , , , , , , , , , , , , ,
337.792, , ,49, , , , , ,29, , , , , , , ,
338.576, , , ,100, , , , , , , , , , , , ,
339.76, , , ,99, , , , , , , , , , , , ,
340.592, , ,48, , , , , , , , , , , , , ,
341.2, , , , , , , , , , ,0, , , , , ,
341.746, , , , , , , , , , , , , , , ,8,
343.392, , ,47, , , , , , , , , , , , , ,
344.506, , , , , , , , , , , , , , ,48, ,
346.192, , ,46, , , , , , , , , , , , , ,
346.982, , , , , , , , , , , , , ,14, , ,
347.98, , , , , , , , , , , ,42, , , , ,
348.992, , ,45, , , , , ,28, , , , , , , ,
351.316, , , , , ,4, , , , , , , , , , ,
351.792, , ,44, , , , , , , , , , , , , ,
354.592, , ,43, , , , , , , , , , , , , ,
357.392, , ,42, , , , , , , , , , , , , ,
359.766, , , , , , , , , , , , , , , ,7,
360.192, , ,41, , , , , , , , , , , , , ,
361.86, , , , , , , , ,27, , , , , , , ,
362.992, , ,40, , , , , , , , , , , , , ,
365.792, , ,39,98, , , , , , , , , , , , ,
367.12, , , ,99, , , , , , , , , , , , ,
368.592, , ,38, , , , , , , , , , , , , ,
370.982, , , , , , , , , , , , , ,13, , ,
371.392, , ,37, , , , , , , , , , , , , ,
372.432, , , , , , , , , , , , , , ,47, ,
374.192, , ,36, , , , , , , , , , , , , ,
374.96, , , , , , , , ,26, , , , , , , ,
375.6, , , , , , , , , ,14, , , , , , ,
376.54, , , ,98, , , , , , , , , , , , ,
377.232, , ,35, , , , , , , , , , , , , ,
378.232, , , ,99, , , , , , , , , , , , ,
379.046, , , , , , , , , , , , , , , ,6,
379.792, , ,34, , , , , , , , , , , , , ,
382.592, , ,33, , , , , , , , , , , , , ,
384.212, , , ,98, , , , , , , , , , , , ,
385.672, , ,32, , , , , , , , , , , , , ,
386.332, , , ,99, , , , , , , , , , , , ,
387.316, , , , , ,3, , , , , , , , , , ,
388.192, , ,31, , , , , , , , , , , , , ,
390.48, , , , , , , , ,25, , , , , , , ,
390.992, , ,30,98, , , , , , , , , , , , ,
