Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri,
460.608, , ,87, , , , , , , , , , , , , ,
461.358, , ,88, , , , , , , , , , , , , ,
462.244, , ,89, , , , , , , , , , , , , ,
462.678, , ,90, , , , , , , , ,18, , , , ,
463.64, , ,91, , , , , , , , , , , , , ,
464.044, , ,92, , , , , , , , , , , , , ,
464.812, , ,93, , , , , , , , , , , , , ,
465.636, , ,94, , , , , , , , , , , , , ,
466.072, , , ,20, , , , , , , , , , , , ,
466.22, , ,95, , , , , , , , , , , ,32, ,
466.734, , ,96, , , , , , , , , , , , , ,
467.396, , ,97, , , , , , , , , , , , , ,
468.058, , ,98, , , , , , , , , , , , , ,
468.808, , ,99, , , , , , , , , , , , , ,
469.568, , ,100, , , , , , , , , , , , , ,
471.848, , , , , , , , , , , , , , , ,1,
472.08, , , ,21, , , , , , , , , , , , ,
473.368, , , , , , , ,44, , , , , , , , ,
478.688, , , ,22, , , , , , , , , , , , ,
485.84, , , ,23, , , , , , , , , , ,31, ,
492.368, , , , , , , ,43, , , , ,16, , , ,
493.128, , , ,24, , , , , , , , , , , , ,
496.168, , , , , , , , , , , ,17, , , , ,
500.728, , , ,25, , , , , , , , , , , , ,
506.24, , , , , , , , , , , , , , ,30, ,
508.56, , , ,26, , , , , , , , , , , , ,
512.888, , , , , , , ,42, ,7, , , , , , ,
517.18, , , ,27, , , , , , , , , , , , ,
518.668, , , , , , , , ,10, , , , , , , ,
526.42, , , ,28, , , , , , , , , , , , ,
527.44, , , , , , , , , , , , , , ,29, ,
529.6, , , , , , , , , , , ,16,15, , , ,
530.94, , , , , , , ,41, , , , , , , , ,
535.88, , , , , , , , , , , , , ,7, , ,
536.38, , , ,29, , , , , , , , , , , , ,
547.22, , , ,30, , , , , , , , , , , , ,
549.44, , , , , , , , , , , , , , ,28, ,
550.4, , , , , , , ,40, , , , , , , , ,
558.4, , , , , , , , , , , , ,14, , , ,
559.12, , , ,31, , , , , , , , , , , , ,
564.4, , , , , , , , , , , ,15, , , , ,
571.4, , , , , , , ,39, , , , , , , , ,
572.44, , , ,32, , , , , , , , , , ,27, ,
587.3, , , ,33, , , , , , , , , , , , ,
594.2, , , , , , , ,38,9, , , , , , , ,
594.8, , , , , , , , , , , , ,13, , , ,
596.44, , , , , , , , , , , , , , ,26, ,
603.6, , , , , , , , , , , ,14, , , , ,
604.54, , , ,34, , , , , , , , , , , , ,
614.02, , , , , , , ,37, , , , , , , , ,
615.868, , , , , , , , , ,6, , , , , , ,
621.44, , , , , , , , , , , , , , ,25, ,
624.94, , , ,35, , , , , , , , , , , , ,
635.42, , , , , , , ,36, , , , , , , , ,
638.8, , , , , , , , , , , , ,12,6, , ,
641.8, , , , , , , , , , , ,13, , , , ,
647.64, , , , , , , , , , , , , , ,24, ,
650.14, , , ,36, , , , , , , , , , , , ,
658.62, , , , , , , ,35, , , , , , , , ,
675.24, , , , , , , , , , , , , , ,23, ,
677.6, , , , , , , , , , , , ,11, , , ,
678.2, , , , , , , , ,8, , , , , , , ,
678.62, , , , , , , ,34, , , , , , , , ,
683.14, , , ,37, , , , , , , , , , , , ,
686, , , , , , , , , , , ,12, , , , ,
700.42, , , , , , , ,33, , , , , , , , ,
704.24, , , , , , , , , , , , , , ,22, ,
724.22, , , , , , , ,32, , , , , , , , ,
731.74, , , ,38, , , , , , , , , , , , ,
734.84, , , , , , , , , , , , , , ,21, ,
736, , , , , , , , , ,5, ,11,10, , , ,
747.6, , , , , , , , , , , , , , , ,0,
750.42, , , , , , , ,31, , , , , , , , ,
759, , , , , , , , , , , , , ,5, , ,
761.04, , , , , , , , , , , , , , ,20, ,
768.44,1, , , , , , , , , , , , , , , ,
772.8, , , , , , , ,30,7, , , , , , , ,
780.2, , , , , , , , , , , , ,9, , , ,
788.64, , , , , , , , , , , , , , ,19, ,
790.268, , , , , , , , , , , ,10, , , , ,
797.308, , , , , , , ,29, , , , , , , , ,
817.64, , , , , , , , , , , , , , ,18, ,
824, , , , , , , ,28, , , , , , , , ,
825.14, , , ,39, , , , , , , , , , , , ,
848.24, , , , , , , , , , , , , , ,17, ,
854.308, , , , , , , ,27, , , , , , , , ,
856.888, , , , , , , , , , , , ,8, , , ,
859, , , , , , , , , , , ,9, , , , ,
880.2, , , , , , , , , ,4, , , , , , ,
881,2,1, , , , , ,26,6, , , , , ,16, ,
899.56, , , , , , ,1, , , , , , , , , ,
908.888, , , , , , , ,25, , , , , , , , ,
915.24, , , , , , , , , , , , , , ,15, ,
921.96, , , , , , ,2, , , , , , , , , ,
939.556, , , , , , , ,24, , , , , , , , ,
944.608, , , , , , , , , , ,1, , , , , ,
945.2, , , , , , , , , , , ,8, , , , ,
948.56, , , , , , ,3, ,7, , , ,9,6, ,1,
959.656, , , , ,1, , , , , , , , , , , ,
965.736, , , , , , , , , , , , , , ,14, ,
974.44,3, , , , , , , , , , , , , , , ,
978.148, ,2, , , , ,4, , , ,2, , , , , ,
980.96, , , , , , , , , , , , , , , ,2,
986.256, , , , , , , , ,8, , , , , , , ,
991.576, , , , , , ,5, , , , , , , , , ,
993.156, , ,99, , , , , , , , , , , , , ,
996.396, , ,98, , , , , , , , , , , , , ,
999.24, , , , , , , , , , ,3, , , , , ,
999.96, , ,97, , , , , , , , , , ,7, , ,
1002.876, , ,96, , , , , , , , , , , , , ,
1004.16, , , , , , , , , , , , ,10, , , ,
1006.14, , ,95,38,2, ,6, , , , , , , , ,3,
1009.108, , , , , , , , ,9, , , , , , , ,
