Time (min),PDP1_ANIMO,PDP1_ODE,
927.587, ,36.5298,
929.2948, ,36.0298,
931.0024, ,35.5319,
932.692,71.6216, ,
933.564, ,35.036,
937.8333, ,34.5422,
938.2351, ,34.0169,
939.4,70.2703, ,
940.7967, ,33.4941,
944.2121, ,32.974,
945.518, ,32.4566,
946.46,68.9189, ,
947.1755, ,31.9024,
948.0293, ,31.3515,
948.8832, ,30.8041,
949.7371, ,30.2601,
950.5909, ,29.6791,
952.7506, ,29.1023,
954.02,67.5676, ,
954.8601, ,28.5299,
955.3122, ,27.9619,
957.8738, ,27.3638,
959.1294, ,26.7709,
959.8326, ,26.1833,
960.4353, ,25.6011,
960.94,66.2162, ,
962.143, ,25.0009,
964.6544, ,24.4067,
966.8141, ,23.8186,
967.86,64.8649, ,
968.5219, ,23.2367,
969.7775, ,22.9903,
972.3391, ,22.745,
973.1929, ,22.5008,
974.42,63.5135, ,
976.2065, ,22.2578,
977.9142, ,22.016,
980.8776, ,21.7753,
981.312,62.1622, ,
982.9871, ,21.5359,
986.0007, ,21.2976,
988.54,60.8108, ,
989.818, ,20.8593,
989.818, ,20.4252,
992.8315, ,19.9952,
994.0872, ,19.5694,
996.08,59.4595, ,
997.0506, ,19.1329,
1001.7719, ,18.7009,
1002.6257, ,18.2735,
1003.36,58.1081, ,
1003.4796, ,17.8507,
1005.1873, ,17.4022,
1006.0412, ,16.9591,
1009.0045, ,16.5214,
1010.5,56.7568, ,
1012.0182, ,16.0891,
1012.8218, ,15.6317,
1014.5295, ,15.1806,
1017.08,55.4054, ,
1017.5431, ,14.7358,
1018.397, ,14.2973,
1018.7988, ,13.8353,
1020.5064, ,13.3805,
1022.2142, ,12.9331,
1023.068, ,12.4931,
1024.212,54.0541, ,
1025.2277, ,12.0346,
1027.5885, ,11.5845,
1029.4468, ,11.1427,
1031.54,52.7027, ,
1033.3143, ,10.7092,
1036.2777, ,10.2666,
1038.4374, ,9.8331,
1038.512,51.3514, ,
1040.999, ,9.4088,
1041.8528, ,8.9936,
1043.5605, ,8.5803,
1045.48,50, ,
1047.3778, ,8.1766,
1050.3412, ,7.7824,
1051.6471, ,7.3978,
1053,48.6486, ,
1053.2041, ,7.0235,
1057.5235, ,6.6588,
1058.8797, ,6.3036,
1059.7335, ,5.9581,
1060.94,47.2973, ,
1061.4413, ,5.6265,
1063.5508, ,5.3044,
1065.7105, ,4.9916,
1066.9662, ,4.6882,
