Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
234.3923,94.1305,6.8769,23.2919,44.6889,29.6149,91.4981,73.0833,91.4259,56.386,87.391,98.3401,90.9929,98.6634,58.6083,99.0611,
236.5266,93.9142,7.1184,23.7104,44.3062,30.1487,91.8994,73.5598,91.7143,57.0014,87.7663,98.2033,91.2819,98.7834,59.1394,99.1644,
239.728,93.6955,7.364,24.1319,43.923,30.6864,92.2918,74.0336,91.998,57.6167,88.1366,98.0619,91.566,98.8977,59.6698,99.2616,
243.4316,93.4744,7.6137,24.5564,43.5394,31.2279,92.6751,74.5048,92.277,58.2316,88.5016,97.9158,91.8454,99.0062,60.1993,99.3526,
248.83,93.2509,7.8675,24.9838,43.1553,31.7731,93.0492,74.9733,92.5512,58.846,88.8615,97.7652,92.12,99.109,60.7279,99.4374,
250.3993,93.0209,8.1301,25.4219,42.7637,32.3319,93.4208,75.4474,92.8256,59.471,89.2226,97.6073,92.3948,99.2078,61.2652,99.5176,
253.6635,92.7884,8.3969,25.863,42.3716,32.8945,93.7826,75.9186,93.095,60.0952,89.5782,97.4447,92.6645,99.3006,61.8013,99.5915,
261.0706,92.5534,8.6679,26.307,41.9791,33.4606,94.1348,76.3867,93.3594,60.7185,89.9282,97.2777,92.9293,99.3875,62.3362,99.6591,
263.7071,92.316,8.9431,26.7538,41.5862,34.0303,94.4771,76.8517,93.6189,61.3407,90.2727,97.1063,93.1892,99.4686,62.8699,99.7205,
266.4063,92.0716,9.2278,27.212,41.1854,34.6142,94.8157,77.3222,93.8781,61.9734,90.6178,96.9271,93.4488,99.5452,63.4122,99.7767,
269.6077,91.8248,9.5167,27.673,40.7842,35.2016,95.1439,77.7893,94.1321,62.6047,90.9571,96.7436,93.7032,99.6157,63.9531,99.8265,
271.6792,91.5754,9.8099,28.1368,40.3825,35.7923,95.4618,78.2529,94.3809,63.2344,91.2904,96.5556,93.9525,99.6803,64.4924,99.87,
284.1709,91.3235,10.1074,28.6034,39.9805,36.3864,95.7692,78.713,94.6244,63.8625,91.6178,96.3633,94.1966,99.7388,65.03,99.9071,
289.3182,91.0643,10.4149,29.0816,39.5704,36.9949,96.0715,79.1782,94.8671,64.5006,91.9452,96.163,94.44,99.7922,65.576,99.9386,
290.8875,90.8025,10.7268,29.5626,39.1599,37.6067,96.3629,79.6395,95.1044,65.1367,92.2663,95.9583,94.6781,99.8395,66.1202,99.9635,
291.9547,90.5382,11.0431,30.0464,38.749,38.2216,96.6433,80.097,95.3362,65.7705,92.5812,95.7494,94.9109,99.8807,66.6625,99.982,
293.0218,90.2713,11.3638,30.5328,38.3377,38.8395,96.9125,80.5506,95.5625,66.402,92.8897,95.5362,95.1383,99.9157,67.2026,99.9942,
294.34,89.9967,11.6949,31.0311,37.9182,39.4721,97.1755,81.0086,95.7874,67.0429,93.1975,95.3147,95.3645,99.9451,67.7509,100,
295.6582,89.7194,12.0306,31.5321,37.4983,40.1075,97.4268,81.4625,96.0066,67.681,93.4987,95.0889,95.5852,99.9682,68.2969,99.9993,
299.4246,89.4395,12.3706,32.0357,37.0781,40.7458,97.6664,81.912,96.22,68.3162,93.7932,94.8589,95.8003,99.985,68.8404,99.9921,
304.7602,89.1569,12.7152,32.5418,36.6574,41.3867,97.8944,82.3571,96.4276,68.9484,94.081,94.6248,96.01,99.9956,69.3816,99.9784,
313.2345,88.8662,13.0707,33.0601,36.2285,42.0423,98.1147,82.8062,96.6333,69.5892,94.3674,94.382,96.2179,100,69.9303,99.9579,
316.4359,88.5728,13.4309,33.581,35.7991,42.7005,98.3229,83.2506,96.8329,70.2265,94.6468,94.135,96.4202,99.998,70.4764,99.9307,
320.2023,88.2766,13.7955,34.1042,35.3695,43.361,98.5188,83.6903,97.0266,70.8601,94.9192,93.8838,96.6167,99.9895,71.0196,99.897,
321.2694,87.9777,14.1646,34.6299,34.9395,44.0238,98.7025,84.1252,97.2142,71.4899,95.1845,93.6286,96.8076,99.9748,71.5599,99.8568,
324.973,87.6702,14.5453,35.168,34.5009,44.7015,98.8772,84.5634,97.3991,72.1277,95.4477,93.3644,96.9963,99.9532,72.1075,99.8091,
326.0401,87.3599,14.9307,35.7085,34.0619,45.3812,99.0392,84.9965,97.5778,72.7611,95.7035,93.096,97.1791,99.9251,72.6519,99.7547,
336.7114,87.0467,15.3206,36.2512,33.6227,46.0628,99.1885,85.4244,97.7502,73.3901,95.9519,92.8235,97.356,99.8904,73.193,99.6937,
