Time (min),vri_ANIMO,vri_ODE,
864.22,34.2857, ,
864.5023, ,16.529,
865.3561, ,16.1789,
867.0638, ,15.8513,
868.3195, ,15.5261,
869.6254, ,15.2033,
872.5888, ,14.883,
873.8947, ,14.5772,
874.7485, ,14.2738,
877.3101, ,13.973,
879.4196, ,13.6746,
879.46,31.4286, ,
882.383, ,13.3774,
884.0907, ,13.0828,
886.6523, ,12.791,
888.812, ,12.502,
892.6293, ,12.1932,
895.1908, ,11.8879,
895.512,28.5714, ,
896.8985, ,11.586,
897.7524, ,11.2876,
899.4601, ,10.9914,
900.314, ,10.6988,
901.1678, ,10.41,
907.9986, ,10.125,
912.2679, ,9.8381,
912.672,25.7143, ,
914.3774, ,9.5552,
916.4869, ,9.2764,
919.5005, ,9.0018,
921.6101, ,8.7213,
922.0621, ,8.4453,
925.0255, ,8.1739,
927.587, ,7.9071,
929.2948, ,7.6307,
931.0024, ,7.3595,
932.692,22.8571, ,
933.564, ,7.0935,
937.8333, ,6.8326,
938.2351, ,6.5595,
940.7967, ,6.2924,
944.2121, ,6.0312,
945.518, ,5.7759,
947.1755, ,5.5075,
948.0293, ,5.246,
948.8832, ,4.9912,
949.7371, ,4.7433,
950.5909, ,4.4842,
952.712,20, ,
952.7506, ,4.2328,
954.8601, ,3.9893,
955.3122, ,3.7534,
957.8738, ,3.5113,
959.1294, ,3.2778,
959.8326, ,3.0529,
960.4353, ,2.8364,
962.143, ,2.62,
964.6544, ,2.4126,
966.8141, ,2.2142,
968.5219, ,2.0247,
969.7775, ,1.9466,
972.3391, ,1.87,
973.1929, ,1.795,
975.98,17.1429, ,
976.2065, ,1.7217,
977.9142, ,1.6499,
980.8776, ,1.5797,
982.9871, ,1.5111,
986.0007, ,1.4441,
989.818, ,1.3241,
989.818, ,1.2095,
992.8315, ,1.1003,
994.0872, ,0.9963,
997.0506, ,0.8943,
1001.7719, ,0.7979,
1002.6257, ,0.7071,
1003.36,14.2857, ,
1003.4796, ,0.6219,
1005.1873, ,0.5368,
1006.0412, ,0.458,
1009.0045, ,0.3855,
1012.0182, ,0.3194,
1012.8218, ,0.2555,
1014.5295, ,0.1988,
1017.5431, ,0.1492,
1018.397, ,0.1068,
1018.7988, ,0.0694,
1020.5064, ,0.04,
1022.2142, ,0.0186,
1023.068, ,0.0053,
1025.08,11.4286, ,
1025.2277, ,0,
1027.5885, ,0.0036,
1029.4468, ,0.0162,
1033.3143, ,0.0377,
1036.2777, ,0.0695,
1038.4374, ,0.1109,
1040.999, ,0.1619,
1041.8528, ,0.2225,
1043.5605, ,0.2941,
1047.3778, ,0.3755,
1050.3412, ,0.4667,
1051.6471, ,0.5678,
1053.2041, ,0.6786,
1057.5235, ,0.7991,
1058.8797, ,0.9294,
1059.7335, ,1.0695,
1061.4413, ,1.2172,
1062.68,8.5714, ,
1063.5508, ,1.3745,
1065.7105, ,1.5413,
1066.9662, ,1.7175,
1069.9798, ,1.9,
1071.6875, ,2.0917,
1072.5414, ,2.2925,
1074.6508, ,2.5024,
1077.2124, ,2.7179,
1078.5183, ,2.9422,
1079.774, ,3.1755,
1081.8835, ,3.4175,
1082.7374, ,3.6649,
1083.1895, ,3.9209,
1084.4451, ,4.1856,
1087.8605, ,4.4588,
1090.0202, ,4.7375,
1090.8741, ,5.0247,
1092.1297, ,5.3203,
1092.5818, ,5.6243,
1094.6913, ,5.9341,
1100.2163, ,6.2523,
1101.0701, ,6.5787,
1103.2299, ,6.9134,
1104.0837, ,7.2547,
1104.9376, ,7.6041,
1107.4991, ,7.9617,
1110.0607, ,8.3275,
1113.0241, ,8.7008,
1113.14,5.7143, ,
1115.9875, ,9.0822,
1116.8413, ,9.4717,
1117.6952, ,9.8693,
1119.0011, ,10.2758,
1121.5626, ,10.6903,
1124.1242, ,11.1129,
1126.2337, ,11.5436,
1127.9414, ,11.985,
1129.6492, ,12.4345,
1136.8818, ,12.791,
1138.1877, ,13.0828,
1141.1511, ,13.3774,
1144.1646, ,13.6746,
1150.0914, ,13.973,
1152.653, ,14.2738,
1159.4838, ,14.5772,
1164.1549, ,14.883,
1165.8626, ,15.0256,
1168.8762, ,15.5361,
1170.5839, ,16.0546,
1172.6935, ,16.5813,
1175.255, ,16.7019,
1176.5609, ,16.8229,
1177.4148, ,16.9443,
1183.3415, ,17.0661,
1184.6474, ,17.1884,
1187.209, ,17.311,
1188.08,2.8571, ,
1192.1312, ,17.4341,
1193.5877, ,17.5575,
1199.9665, ,17.7041,
1201.6743, ,17.8512,
1202.1263, ,17.9989,
1203.3819, ,18.1472,
1206.3956, ,18.6962,
1209.3589, ,19.2528,
1212.3223, ,19.8168,
1217.0436, ,20.3883,
1217.4454, ,20.9579,
1218.7513, ,21.5346,
1220.007, ,22.1182,
1222.5686, ,22.7088,
1226.8379, ,23.3096,
1228.5455, ,23.9172,
1229.8012, ,24.5316,
1232.3628, ,25.1525,
1236.6321, ,25.7878,
1237.285, ,26.4296,
1238.3398, ,27.078,
1240.4995, ,27.7327,
1243.0611, ,28.4066,
1248.9878, ,29.087,
1250.2937, ,29.7736,
1250.6955, ,30.4663,
1256.6725, ,31.1844,
1258.3802, ,31.9087,
1262.1975, ,32.639,
1262.6495, ,33.3752,
1265.6129, ,34.1095,
1267.7726, ,34.8492,
1269.0283, ,35.5943,
1270.3342, ,36.3445,
1271.188, ,37.044,
1274.1514, ,37.7476,
1275.4573, ,38.4552,
1278.4207, ,39.1666,
1281.384, ,39.8436,
1283.5438, ,40.5238,
1286.4067, ,41.2071,
1289.0687, ,41.8934,
1292.0824, ,42.5548,
1295.0457, ,43.2186,
1295.8996, ,43.8849,
1298.0091, ,44.5534,
1300.5706, ,45.2024,
1301.8766, ,45.8533,
1303.228,5.7143, ,
1303.5843, ,46.506,
1304.4381, ,47.1605,
1306.5476, ,47.7989,
1306.9997, ,48.4387,
1309.5613, ,49.0798,
1310.4151, ,49.7221,
1312.0726, ,50.3508,
1312.9264, ,50.9805,
1314.6341, ,51.611,
1317.1957, ,52.2423,
1318.0495, ,52.8617,
1323.1727, ,53.4816,
1325.3324, ,54.102,
1327.894, ,54.7228,
1331.7112, ,55.333,
1332.18,8.5714, ,
1333.8208, ,55.9435,
1334.2728, ,56.554,
1334.6746, ,57.1645,
1335.5284, ,57.7655,
1337.2362, ,58.3664,
1337.6882, ,58.967,
1341.1036, ,59.5674,
1342.8113, ,60.159,
1349.64,11.4286, ,
1351.7517, ,60.7501,
1354.715, ,61.3408,
1356.4228, ,61.9308,
1358.1304, ,62.5128,
1359.4364, ,63.0941,
1360.692, ,63.6745,
1361.9477, ,64.2541,
1364.1075, ,64.8263,
1367.48,14.2857, ,
1368.3767, ,65.3975,
1370.0844, ,65.9676,
1372.646, ,66.5365,
1373.0478, ,67.0986,
1376.0614, ,67.6595,
1378.5727, ,68.219,
1379.3261, ,68.7772,
