Time (min),VRI_ANIMO,VRI_ODE,
722.5616, ,79.8642,
723.2648, ,79.4584,
728.9404, ,79.0523,
731.502, ,78.6436,
732.38,96.1538, ,
733.511, ,78.2325,
734.0635, ,77.819,
734.9174, ,77.4051,
736.173, ,76.9889,
736.625, ,76.5704,
737.4789, ,76.1498,
739.1866, ,75.7287,
742.15, ,75.3056,
744.1591, ,74.8803,
746.0175, ,74.4531,
747.2731, ,74.0256,
749.196,94.8718, ,
750.2365, ,73.5961,
753.2501, ,73.1648,
754.8071, ,72.7317,
756.2135, ,72.706,
758.775, ,72.6803,
761.7886, ,72.6545,
762.1904, ,72.6288,
763.0443, ,72.6246,
763.42,93.5897, ,
764.752, ,72.6204,
765.4552, ,72.6162,
767.3136, ,72.612,
769.8751, ,72.6092,
771.5829, ,72.6064,
773.6924, ,72.6036,
778.46,92.3077, ,
778.8155, ,72.6008,
781.3771, ,72.598,
781.7789, ,72.5952,
782.6327, ,72.5924,
784.3405, ,72.5896,
790.3174, ,72.5868,
791.8,91.0256, ,
793.331, ,72.5839,
797.1483, ,72.5811,
798.856, ,72.5782,
802.6732, ,72.5639,
803.42,89.7436, ,
805.6868, ,72.5497,
807.3945, ,72.5354,
808.6501, ,72.5211,
809.956, ,72.4497,
811.6638, ,72.3782,
812.0656, ,72.3067,
813.6226, ,72.2351,
814.6272, ,72.1671,
815.0289, ,72.099,
815.316,88.4615, ,
815.8828, ,72.0309,
816.7367, ,71.9627,
818.4444, ,71.6212,
825.2752, ,71.2788,
826.012,87.1795, ,
826.9829, ,70.9353,
831.2522, ,70.5908,
833.3617, ,70.0699,
835.5215, ,69.547,
835.836,85.8974, ,
840.1925, ,69.022,
841.4984, ,68.495,
844.06, ,67.9986,
845.66,84.6154, ,
846.6216, ,67.5005,
848.2791, ,67.0009,
849.585, ,66.4998,
850.4388, ,66.0253,
852.5484, ,65.5496,
854.72,83.3333, ,
856.4157, ,65.0726,
859.3791, ,64.5946,
859.8312, ,64.1445,
861.5389, ,63.6935,
864.22,82.0513, ,
864.5023, ,63.2417,
865.3561, ,62.789,
867.0638, ,62.3615,
868.3195, ,61.9333,
869.6254, ,61.5045,
872.5888, ,61.0751,
872.94,80.7692, ,
